,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
SUBMITTED BY:,,"FUNK, JENNIFER  —  funk@ucdavis.edu",,,,,,,,,           WORK REQ #:,,25S175
AFFILIATION,,"AGF: UCD, Plant Sci",,,,,,,,,           # OF SAMPLES:,,10
COPY TO:,,Not Specified,,,,,,,,,           DATE RECEIVED:,,06/12/25
CLIENT ID #:,,FUNJ1,,,,,,,,,           DATE REPORTED:,,07/29/25
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Client Provided Info:,,COMMODITY: soil    Date Sampled:  4/15/25;  Grower/Location/Project:  Grassland precipitation gradient 2025,,,,,,,,,,,
,,NH4-N,NO3-N,Olsen-P,X-K,X-K,X-Na,X-Na,X-Ca,X-Mg,CEC (estimated),OM (LOI),pH
"LAB
SAMPLE #","Client 
Description","[ SOP 312.04 ]
ppm","[ SOP 312.4 ]
ppm","[ SOP 340.3 ]
ppm","[ SOP 360.05 ]
ppm","[ SOP 360.05 ]
meq/100g","[ SOP 360.5 ]
ppm","[ SOP 360.05 ]
meq/100g","[ SOP 360.5 ]
meq/100g","[ SOP 360.05 ]
meq/100g","[ SOP 360.5 ]
meq/100g","[ SOP 415.4 ]
%","[ SOP 205.3 ]
"
1,, 5.18, 0.84, 12.6,338, 0.86, 19, 0.08, 8.60, 14.4, 23.9, 2.98, 6.62
 1 dup,, 5.73, 0.77, 12.4,336, 0.86, 19, 0.08, 8.58, 14.4, 23.9, 2.91, 6.57
2,, 5.63, 0.56, 12.6,310, 0.79, 19, 0.08, 8.55, 14.4, 23.9, 2.92, 6.68
3,, 5.98, 0.56,  9.5,314, 0.80, 23, 0.10, 8.88, 15.0, 24.8, 3.04, 6.56
4,, 6.03, 0.83,  9.8,295, 0.76, 22, 0.10, 8.69, 14.8, 24.4, 3.06, 6.65
5,, 5.68, 0.56, 10.0,321, 0.82, 18, 0.08, 8.52, 14.5, 23.9, 3.09, 6.59
6,, 4.65, 0.51,  9.2,283, 0.72, 18, 0.08, 9.13, 14.9, 24.9, 2.88, 6.72
7,, 4.83, 0.43, 12.0,307, 0.78, 16, 0.07, 8.94, 14.4, 24.2, 2.89, 6.63
8,, 5.18, 0.54, 10.2,309, 0.79, 17, 0.07, 9.42, 15.3, 25.6, 3.12, 6.71
9,, 4.78, 0.44,  8.4,307, 0.78, 18, 0.08, 9.02, 15.1, 25.0, 3.10, 6.66
10,, 4.49, 0.49,  9.2,316, 0.81, 18, 0.08, 8.58, 14.2, 23.7, 2.82, 6.76
 10 dup,, 4.85, 0.37,  8.9,322, 0.82, 19, 0.08, 8.87, 14.6, 24.4, 2.87, 6.70
,,,,,,,,,,,,,
Analysis Date:,,7/15/25,7/15/25,7/21/25,7/9/25,7/9/25,7/9/25,7/9/25,7/9/25,7/9/25,7/9/25,7/10/25,7/11/25
Method Detection Limit:,,0.10,0.10,1.0,1,0.01,1,0.01,0.01,0.01,0.04,0.05,0.01
Blank Concentration:,, 0.00, 0.00,  0.0,  0, 0.00,  0, 0.00, 0.00, 0.00,-,-,-
Standard Ref as Tested:,, 12.1, 67, 38.5,1064, 2.70, 48.7, 0.21, 21.7,  9.2,-, 3.42, 6.46
Standard Ref Acceptable:,,11.4±1.0,71±9,34.0±5.0,1100±80,2.81±0.2,50.9±6.0,0.22±0.03,20.6±4.0,9.0±0.8,-,3.50±0.40,6.45±0.06
Standard Reference:,,NORD,NORD,NORD,NORD,NORD,HELENA,HELENA,NORD,NORD,-,NAPT 2020-118,UCD 004
,,,,,,,,,,,,,
,,NOTE: The SOP # (Standard Operating Procedure number) is a reference to the laboratory method used.,,,,,,,,,,,
,,          The SOP heading in this Excel file is linked to the method summary on the Laboratory website.,,,,,,,http://anlab.ucdavis.edu,,,,
,,,,,,,,,,,,,
,,NOTE: No result within this report is accurate to more than 3 significant figures. More figures may be present due to software rounding rules.,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,Checked and Approved:                      {electronically signed by Kelly Gardner}                   ,,,,,,,,,,,
,,,,,,"Kelly Gardner, Lab Manager",,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,Reviewed and Approved:                      {electronically signed by Rani Youngman}                   ,,,,,,,,,,,
,,,,,,"Rani Youngman, Director",,,,,,,
,,,,,,,,,,,,,
,,Please address questions regarding these results to the Lab,,,,,,,,,,,
,,   at (530) 752-0147 or anlab@ucdavis.edu.,,,,,,,,,,,
,,,,,,,,,,,,,
,,"Unless otherwise noted, all samples were received in acceptable condition and the results were reported ""As Received.""",,,,,,,,,,,
,,The results in this report relate only to the portion of the sample(s) tested.  This report does not authorize a release of product.,,,,,,,,,,,
,, for consumption. This report shall not be reproduced except in full without the written permission from UC Davis Analytical Laboratory.,,,,,,,,,,,
