Sample_ID,δ13CVPDB_permil,Total_C_µg,C_Comment,δ15NAir_permil,Total_N_µg,N_Comment,Tray_Name,Well_Id,Type_of_Material,Analysis,Sample_Weight_mg_from_Sample_List,Internal_ID,Analysis_Number,Mass_Spec,Error
A1 BRODIA 2,-29.96,1478.17,,2.77,79.07,,USDADrought5,A10,leaf,"13C, %N",3.696,2225919,612675,D,
A1 BROHOR 2,-27.78,1523.92,,2.61,112.46,,USDADrought4,G8,leaf,"13C, %N",3.85,2225893,613565,D,
A1 CLAPUR 2,-30.25,1551.25,,2.39,85.01,,USDADrought1,E3,leaf,"13C, %N",3.967,2225576,612240,D,
A1 DAUPUS 2,-31.3,1473.23,,1.65,63.48,,USDADrought4,B10,leaf,"13C, %N",3.648,2225835,612572,D,
A1 HYPGLA 2,-30.3,1319.16,,4.18,73.1,,USDADrought3,E4,leaf,"13C, %N",3.425,2225769,612488,D,
A1 MADGRA 2,-31.33,1296.89,,3.69,84.43,,USDADrought3,G11,leaf,"13C, %N",3.214,2225800,612525,D,
A2 AVEBAR 2,-30.22,1452.57,,3.58,93.73,,USDADrought6,B4,leaf,"13C, %N",3.357,2226021,612813,D,
A2 BROARE 2,-30.32,1438.78,,3.15,92.46,,USDADrought2,C10,leaf,"13C, %N",3.767,2225655,612343,D,
A2 BRODIA 2,-30.04,1440.39,,2.61,53.59,,USDADrought6,H11,leaf,"13C, %N",3.608,2226100,613455,D,
A2 BROMAD 2,-31.24,1339.24,,2.59,66.73,,USDADrought5,G7,leaf,"13C, %N",3.287,2225988,612768,D,
A2 EROCIC 1,-29.29,1190.26,,3.45,122.01,,USDADrought2,D1,leaf,"13C, %N",3.961,2225658,612350,D,
A3 AVEBAR 2,-30.22,1321.09,,3.34,108.73,,USDADrought6,B3,leaf,"13C, %N",3.1,2226020,612812,D,
A3 BRODIA 2,-29.77,1342.03,,2.64,58.51,,USDADrought5,A11,leaf,"13C, %N",3.34,2225920,612676,D,
A3 BROHOR 2,-32.02,1260.74,,2.35,64.99,,USDADrought4,G11,leaf,"13C, %N",3.257,2225896,613568,D,
A3 CLAPUR 1,-31.78,1449.88,,3.51,67.34,,USDADrought4,D9,leaf,"13C, %N",3.533,2225858,612605,D,
A3 DAUPUS 2,-31.16,1378.69,,0.84,64.3,,USDADrought4,B9,leaf,"13C, %N",3.754,2225834,612571,D,
A3 EROBOT 1,-31.58,1336.3,,2.11,126.49,,USDADrought2,F9,leaf,"13C, %N",3.461,2225690,613703,D,
