sample,total.leaf.area
A1ACMPAR1_20230509,0.873
A1AIRCAR2_20230509,0.504
A1BRODIA2_20230429,9.902
A1BROHOR2_20230503,17.179
A1CLAPUR2_20230505,1.087
A1DAUPUS2_20230521,4.497
A1GALPAR2_20230426,0.542
A1HYPGLA2_20230426,48.225
A1MADGRA2_20230515,6.06
A2AMSMEN2_20230403,11.081
A2AVEBAR2_20230422,26
A2BROARE2_20230324,10.045
A2BRODIA2_20230429,15.294
A2BROMAD2_20230424,5.141
A2EROCIC1_20230401,53.138
A3AVEBAR2_20230422,44.465
A3BRODIA2_20230428,9.856
A3BROHOR2_20230503,14.623
A3CLAPUR1_20230505,2.486
A3DAUPUS2_20230521,6.116
A3EROBOT1_20230405,35.285
A3GERDIS2_20230410,12.752
A3LUPBIC1_20230427,2.623
A3MADGRA2_20230515,10.976
A3TORARV2_20230520,8.931
A3VICSAT2_20230422,16.052
A4AMSMEN2_20230403,10.32
A4AVEBAR2_20230422,32.922
A4BROARE2_20230324,14.072
A4BRODIA2_20230430,11.968
A4BROMAD2_20230424,6.449
A4CAUCOU2_20230423,28.878
A4EROCIC2_20230401,37.455
A4LUPMIC1_20230424,1.289
A4PHATAN2_20230401,17.415
A5AVEBAR1_20230422,11.205
A5BRODIA2_20230430,9.305
A5BROHOR2_20230503,6.123
A5BROMAD2_20230424,2.403
A5CLAPUR2_20230505,1.493
A5ELYCAP2_20230520_NOLICOR,1.841
A5EROBOT1_20230405,32.05
A5HOLVIR1_20230903,2.104
A5LUPBIC2_20230427,1.767
A5MICCAL2_20230427,1.213
A5PLAERE2_20230412,3.933
A6BRODIA2_20230430,14.084
A6BROHOR2_20230503,4.794
A6BROMAD2_20230424,3.284
A6CENMEL2_20230507,21.26
A6EROCIC2_20230401,3.874
A6MICCAL2_20230427,1.404
A7AVEFAT1_20230422,15.795
A7BRODIA2_20230430,9.921
A7BROHOR2_20230503,9.121
A7BROMAD2_20230424,4.001
A7CALMEN1_20230403,1.628
A7CENMEL2_20230507,17.555
A8AVEBAR2_20230422,35.795
A8BRODIA2_20230430,5.95
A8BROHOR2_20230503,6.687
A8BROMAD2_20230424,3.916
A8CLAPUR2_20230505,1.785
A8ELYCAP2_20230520_NO LICOR,1.575
A8EROBOT1_20230405_nophoto,0.629
A8HOLVIR1_20230903,0.944
A8LUPBIC2_20230428,1.326
A8MICCAL2_20230427,1.121
A8PLAERE2_20230412,2.891
A8TRIHIR1_20230509,5.795
B1AVEBAR1_20230422,35.807
B1BRODIA2_20230430,9.358
B1BROHOR2_20230505,12.36
B1CLAPUR2_20230505,1.78
B1DAUPUS2_20230521,11.799
B1EROBOT1_20230405,17.758
B1GERDIS2_20230410,11.777
B1LUPBIC2_20230428,2.12
B1MADGRA2_20230515,9.159
B1TORARV2_20230520,2.758
B1VICSAT2_20230422,23.333
B2AVEBAR2_20230422,47.57
B2BRODIA2_20230430,7.807
B2BROHOR2_20230505,4.733
B2BROMAD2_20230424,3.851
B2CLAPUR2_20230505,1.892
B2ELYCAP2_20230520,1.593
B2EROBOT1_20250405,19.791
B2HOLVIR2_20230903,2.192
B2LUPBIC2_20230428,4.172
B2MICCAL2_20230427,1.605
B2PLAERE2_20230412,3.906
B2TRIHIR2_20230509,6.363
B3BRODIA2_20230430,17.288
B3BROHOR2_20230505,6.736
B3BROMAD2_20230424,1.464
B3CALMEN1_20230403,1.677
B3CENMEL2_20230507,66.348
B3EROCIC2_20230401,43.687
B3MICCAL2_20230427,1.741
B4AIRCAR2_20230509,0.098
B4BRODIA2_20230430,8.198
B4BROHOR2_20230503,5.378
B4CLAPUR2_20230505,1.363
B4DAUPUS2_20230521,5.571
B4GALPAR2_20230428,0.768
B4HYPGLA2_20230426,23.731
B4MADGRA2_20230515,13.451
B5AVEBAR2_20230422,41.407
B5BRODIA2_20230430,6.176
B5BROHOR2_20230505,3.148
B5BROMAD2_20230424,4.729
B5CLAPUR2_20230505,2.795
B5ELYCAP2_20230520,1.61
B5EROBOT1_20230405,21.488
B5HOLVIR2_20230903,1.988
B5LUPBIC1_20230423,3.826
B5MICCAL2_20230427,0.779
B5PLAERE2_20230412,3.364
B5TRIHIR1_20230509,5.919
B6BRODIA2_20230430,13.436
B6BROHOR2_20230505,3.954
B6BROMAD2_20230424,5.277
B6CALMEN1_20230403,0.347
B6CENMEL2_20230507,30.925
B6EROCIC1_20230401,27.668
B6MICCAL2_20230427,1.855
B7BRODIA2_20230430,17.622
B7BROHOR2_20230505,6.105
B7CLAPUR2_20230505,2.256
B7DAUPUS2_20230522,4.471
B7GERDIS2_20230410,16.58
B7MADGRA2_20230515,9.174
