Recorder,Date,Plant_ID,Sp_Code,Dry_leaf_mass_g
BW,4/3/23,C6.AMSMEN.2,AMSMEN,0.0375
BW,4/3/23,C7.AMSMEN.2,AMSMEN,0.0169
BW,4/3/23,G4.AMSMEN.2,AMSMEN,0.0431
BW,4/3/23,B8.AMSMEN.2,AMSMEN,0.0117
BW,4/3/23,F7.AMSMEN.2,AMSMEN,0.0161
BW,4/3/23,A4.AMSMEN.2,AMSMEN,0.0468
BW,4/3/23,A2.AMSMEN.2,AMSMEN,0.0548
BW,4/5/23,J7.AMSMEN.2,AMSMEN,0.0183
BW,4/5/23,J4.AMSMEN.2,AMSMEN,0.0273
BW,4/5/23,I3.AMSMEN.2,AMSMEN,0.0348
BW,4/5/23,E2.AMSMEN.2,AMSMEN,0.0124
BW,4/5/23,C6.AMSMEN.2,ESCCAL,0.0203
BW,3/31/23,E2.BROARE.2,BROARE,0.0277
BW,3/31/23,C6.BROARE.2,BROARE,0.0278
BW,3/31/23,A4.BROARE.2,BROARE,0.0449
BW,3/31/23,J4.BROARE.2,BROARE,0.033
BW,3/31/23,I3.BROARE.2,BROARE,0.0285
BW,3/31/23,B8.BROARE.2,BROARE,0.0216
BW,3/31/23,J7.BROARE.2,BROARE,0.0284
BW,3/31/23,D5.BROARE.2,BROARE,0.0408
BW,3/31/23,A2.BROARE.2,BROARE,0.0469
BW,3/31/23,F2.BROARE.2,BROARE,0.0324
BW,3/31/23,E4.BROARE.2,BROARE,0.0349
BW,3/31/23,D3.BROARE.2,BROARE,0.0274
BW,3/31/23,F7.BROARE.2,BROARE,0.0251
BW,3/31/23,C7.BROARE.2,BROARE,0.0323
BW,3/31/23,H3.BROARE.2,BROARE,0.0324
BW,3/31/23,G4.BROARE.2,BROARE,0.0323
BW,4/3/23,C2.CALMEN.1,CALMEN,0.0001
BW,4/3/23,D8.CALMEN.2,CALMEN,0.0071
BW,4/3/23,E6.CALMEN.2,CALMEN,0.0015
