Site,Date,Plot,Species,% Cover,Notes,
WWP,3/18/2025,1,Rock,12,,
WWP,3/18/2025,1,Bare,5,,
WWP,3/18/2025,1,Litter,20,,
WWP,3/18/2025,1,BROMAD,9,,
WWP,3/18/2025,1,BROARE,3,,
WWP,3/18/2025,1,BRODIA,5,,
WWP,3/18/2025,1,CENMEL,4,,
WWP,3/18/2025,1,EROCIC,1,,
WWP,3/18/2025,1,DATWRI,1,,
WWP,3/18/2025,1,HIRINC,1,,
WWP,3/18/2025,1,AVEBAR,1,,
WWP,3/18/2025,3,Rock,9,,
WWP,3/18/2025,3,Bare,20,,
WWP,3/18/2025,3,Litter,11,,
WWP,3/18/2025,3,BROMAD,5,,
WWP,3/18/2025,3,BROARE,3,,
WWP,3/18/2025,3,BRODIA,0,,
WWP,3/18/2025,3,DATWRI,2,,
WWP,3/18/2025,3,PHATAN,1,,
WWP,3/18/2025,3,HIRINC,1,,
WWP,3/18/2025,3,CENMEL,1,,
WWP,3/18/2025,3,EROCIC,2,,
WWP,3/18/2025,3,UNK-1,1,10:09,
WWP,3/18/2025,3,AVEBAR,4,,
WWP,3/18/2025,3,UNK-2,1,10:18 STEPHANOMARIA? Caulanthus lasioplyllus,
WWP,3/18/2025,2,Rock,5,,
WWP,3/18/2025,2,Bare,15,,
WWP,3/18/2025,2,Litter,15,,
WWP,3/18/2025,2,PHATAN,2,,
WWP,3/18/2025,2,BROMAD,1,,
WWP,3/18/2025,2,BROARE,1,,
WWP,3/18/2025,2,BRODIA,2,,
WWP,3/18/2025,2,AVEBAR,5,,
WWP,3/18/2025,2,Unk-2,3,,
WWP,3/18/2025,2,HIRINC,1,,
WWP,3/18/2025,2,EROCIC,6,,
WWP,3/18/2025,2,ESCCAL,1,,
WWP,3/18/2025,5,Rock,1,,
WWP,3/18/2025,5,Bare,2,,
WWP,3/18/2025,5,Litter,18,,
WWP,3/18/2025,5,BROMAD,15,,
WWP,3/18/2025,5,BROARE,1,,
WWP,3/18/2025,5,BRODIA,2,,
WWP,3/18/2025,5,AVEBAR,3,,
WWP,3/18/2025,5,UNK-2,3,CAULAS,
WWP,3/18/2025,5,ESCCAL,4,,
WWP,3/18/2025,5,PHATAN,2,,
WWP,3/18/2025,5,EROCIC,3,,
WWP,3/18/2025,4,Roch,0,,
WWP,3/18/2025,4,Bare,20,,
WWP,3/18/2025,4,Litter,27,,
WWP,3/18/2025,4,ESCCAL,2,,
WWP,3/18/2025,4,PHATAN,3,,
WWP,3/18/2025,4,AMSMEN,1,,
WWP,3/18/2025,4,BROMAD,4,,
WWP,3/18/2025,4,BROARE,2,,
WWP,3/18/2025,4,BRODIA,1,,
WWP,3/18/2025,4,AVEBAR,3,,
WWP,3/18/2025,4,EROCIC,4,,
WWP,3/18/2025,4,HIRINC,1,,
WWP,3/18/2025,6,Rock,1,,
WWP,3/18/2025,6,Bare,10,,
WWP,3/18/2025,6,Litter,12,,
WWP,3/18/2025,6,BROMAD,9,,
WWP,3/18/2025,6,UNK-1,1,,
WWP,3/18/2025,6,BROARE,2,,
WWP,3/18/2025,6,BRODIA,2,,
WWP,3/18/2025,6,EROCIC,3,,
WWP,3/18/2025,6,ACMWRA,1,,
WWP,3/18/2025,6,PHATAN,3,,
WWP,3/18/2025,6,CAUCOU,2,,
WWP,3/18/2025,6,AVEBAR,8,,
WWP,3/18/2025,6,UNK-2,1,,
WWP,3/18/2025,9,Rock,12,,
WWP,3/18/2025,9,Bare,8,,
WWP,3/18/2025,9,Litter,10,,
WWP,3/18/2025,9,BROMAD,10,,
WWP,3/18/2025,9,BROARE,2,,
WWP,3/18/2025,9,BRODIA,6,,
WWP,3/18/2025,9,AVEBAR,6,,
WWP,3/18/2025,9,HIRINC,2,,
WWP,3/18/2025,9,CAUCOU,4,,
WWP,3/18/2025,9,ESCCAL,2,,
WWP,3/18/2025,9,EROCIC,5,,
WWP,3/18/2025,9,PHATAN,1,,
WWP,3/18/2025,9,ACMWRA,1,,
WWP,3/18/2025,7,Rock,3,,
WWP,3/18/2025,7,Litter,3,,
WWP,3/18/2025,7,Bare,5,,
WWP,3/18/2025,7,CAUCOU,1,,
WWP,3/18/2025,7,ESCCAL,4,,
WWP,3/18/2025,7,EROCIC,2,,
WWP,3/18/2025,7,HIRINC,1,,
WWP,3/18/2025,7,BROMAD,13,,
WWP,3/18/2025,7,BROARE,3,,
WWP,3/18/2025,7,AVEBAR,0,,
WWP,3/18/2025,7,BRODIA,5,,
WWP,3/18/2025,7,PHATAN,1,,
WWP,3/18/2025,7,UNK-2,1,,
WWP,3/18/2025,8,Rock,1,,
WWP,3/18/2025,8,Litter,2,,
WWP,3/18/2025,8,Bare,5,,
WWP,3/18/2025,8,PHATAN,9,,
WWP,3/18/2025,8,BROMAD,16,,
WWP,3/18/2025,8,BROARE,7,,
WWP,3/18/2025,8,BRODIA,2,,
WWP,3/18/2025,8,AVEBAR,1,,
WWP,3/18/2025,8,EROCIC,2,,
WWP,3/18/2025,8,AMSMEN,1,,
WWP,3/18/2025,10,Rock,12,,
WWP,3/18/2025,10,Bare,1,,
WWP,3/18/2025,10,Litter,10,,
WWP,3/18/2025,10,HIRINC,2,,
WWP,3/18/2025,10,AMSMEN,1,,
WWP,3/18/2025,10,ESCCAL,1,,
WWP,3/18/2025,10,BROMAD,3,,
WWP,3/18/2025,10,BROARE,1,,
WWP,3/18/2025,10,BRODIA,10,,
WWP,3/18/2025,10,AVEBAR,5,,
WWP,3/18/2025,10,EROCIC,1,,
WWP,3/18/2025,10,CAUCOU,1,,
SEDG,3/19/2025,1,Rock,0,,
SEDG,3/19/2025,1,Bare,0,,
SEDG,3/19/2025,1,Litter,50,,
SEDG,3/19/2025,1,CORFIL,25,,
SEDG,3/19/2025,1,CENMEL,10,,
SEDG,3/19/2025,1,CLAPUR,1,,
SEDG,3/19/2025,1,CALMEN,1,,
SEDG,3/19/2025,1,grass,4,,
SEDG,3/19/2025,10,Rock,0,,
SEDG,3/19/2025,10,Bare,0,,
SEDG,3/19/2025,10,Litter,35,,
SEDG,3/19/2025,10,CORFIL,2,,
SEDG,3/19/2025,10,CENMEL,20,,
SEDG,3/19/2025,10,grass,10,,
SEDG,3/19/2025,10,ESCCAL,1,,
SEDG,3/19/2025,10,EROCIC,1,,
SEDG,3/19/2025,9,Rock,1,,
SEDG,3/19/2025,9,Bare,2,,
SEDG,3/19/2025,9,Litter,35,,
SEDG,3/19/2025,9,CORFIL,1,,
SEDG,3/19/2025,9,CENMEL,25,,
SEDG,3/19/2025,9,grass,5,,
SEDG,3/19/2025,9,EROCIC,1,,
SEDG,3/19/2025,9,CALMEN,1,,
SEDG,3/19/2025,9,ACMAME,1,,
SEDG,3/19/2025,9,ESCCAL,2,,
SEDG,3/19/2025,9,STIPUL,2,,
SEDG,3/19/2025,7,Rock,1,,
SEDG,3/19/2025,7,Bare,4,,
SEDG,3/19/2025,7,Litter,50,,
SEDG,3/19/2025,7,CENMEL,35,,
SEDG,3/19/2025,7,ESCCAL,1,,
SEDG,3/19/2025,7,CALMEN,2,,
SEDG,3/19/2025,7,EROCIC,1,,
SEDG,3/19/2025,7,CLAPUR,1,,
SEDG,3/19/2025,7,ACMAME,1,,
SEDG,3/19/2025,7,grass,4,,
SEDG,3/19/2025,7,CORFIL,1,,
SEDG,3/19/2025,6,Rock,0,,
SEDG,3/19/2025,6,Bare,4,,
SEDG,3/19/2025,6,Litter,50,,
SEDG,3/19/2025,6,ESCCAL,2,,
SEDG,3/19/2025,6,CLAPUR,1,,
SEDG,3/19/2025,6,CENMEL,20,,
SEDG,3/19/2025,6,grass,12,,
SEDG,3/19/2025,6,Trifolium Sp-1,1,TL,
SEDG,3/19/2025,6,ERUCIC,1,,
SEDG,3/19/2025,6,CALMEN,1,,
SEDG,3/19/2025,6,STIPUL,1,,
SEDG,3/19/2025,8,Bare,4,,
SEDG,3/19/2025,8,Rock,0,,
SEDG,3/19/2025,8,Litter,35,,
SEDG,3/19/2025,8,CENMEL,40,,
SEDG,3/19/2025,8,ESCCAL,3,,
SEDG,3/19/2025,8,EROCIC,1,,
SEDG,3/19/2025,8,Grass,4,,
SEDG,3/19/2025,8,CALMEN,1,,
SEDG,3/19/2025,8,STIPUL,1,,
SEDG,3/19/2025,8,CLAPUR,1,,
SEDG,3/19/2025,5,Bare,5,,
SEDG,3/19/2025,5,Rock,1,,
SEDG,3/19/2025,5,Litter,15,,
SEDG,3/19/2025,5,Grass,10,,
SEDG,3/19/2025,5,EROCIC,5,,
SEDG,3/19/2025,5,CENMEL,15,,
SEDG,3/19/2025,5,ESCCAL,2,,
SEDG,3/19/2025,5,ACMAME,1,,
SEDG,3/19/2025,5,CLAPUR,1,,
SEDG,3/19/2025,5,CALMEN,1,,
SEDG,3/19/2025,5,UNK-1,1,8:21 TR,
SEDG,3/19/2025,5,CORFIL,1,,
SEDG,3/19/2025,2,Bare,7,,
SEDG,3/19/2025,2,Rock,1,,
SEDG,3/19/2025,2,Litter,40,,
SEDG,3/19/2025,2,CENMEL,2,,
SEDG,3/19/2025,2,CLAPUR,1,,
SEDG,3/19/2025,2,Trifolium Sp-2,1,8:26,
SEDG,3/19/2025,2,UNK-2,1,8:26,
SEDG,3/19/2025,2,CALMEN,1,,
SEDG,3/19/2025,2,grass,30,,
SEDG,3/19/2025,4,Bare,8,,
SEDG,3/19/2025,4,Rock,3,,
SEDG,3/19/2025,4,Litter,10,,
SEDG,3/19/2025,4,Grass,12,,
SEDG,3/19/2025,4,HIRINC,1,,
SEDG,3/19/2025,4,ESCCAL,1,,
SEDG,3/19/2025,4,EROCIC,2,,
SEDG,3/19/2025,4,CLAPUR,1,,
SEDG,3/19/2025,3,Bare,1,,
SEDG,3/19/2025,3,Rock,0,,
SEDG,3/19/2025,3,Litter,50,,
SEDG,3/19/2025,3,CLAPUR,2,,
SEDG,3/19/2025,3,UNK-2,2,Meadowrue?,
SEDG,3/19/2025,3,Grass,8,,
SEDG,3/19/2025,3,CENMEL,1,,
SEDG,3/19/2025,3,CLAPER,1,,
SEDG,3/19/2025,3,CORFIL,1,,
SEDG,3/19/2025,3,GALIUM sp,1,8:33,
SEDG,3/19/2025,3,ESCCAL,1,,
BORR,3/21/25,1,Rock,0,,
BORR,3/21/25,1,Bare,2,,
BORR,3/21/25,1,Litter,90,,
BORR,3/21/25,1,GERDIS,5,,
BORR,3/21/25,1,VICSAT,1,,
BORR,3/21/25,1,Grass,4,,
BORR,3/21/25,1,CLAPUR,1,,
BORR,3/21/25,1,CLAPER,1,,
BORR,3/21/25,1,GER-2,1,,
BORR,3/21/25,7,Bare,0,,
BORR,3/21/25,7,Rock,0,,
BORR,3/21/25,7,Litter,10,,
BORR,3/21/25,7,CALPOM,7,,
BORR,3/21/25,7,Grass,40,,
BORR,3/21/25,7,DAUPUS,1,,
BORR,3/21/25,7,GER-2,1,,
BORR,3/21/25,7,EROBOT,2,,
BORR,3/21/25,7,CLAPUR,1,,
BORR,3/21/25,7,TRIHIR,1,,
BORR,3/21/25,7,VICSAT,1,,
BORR,3/21/25,7,UNKCAR-1,1,10:13,
BORR,3/21/25,7,TORARV,1,,
BORR,3/21/25,7,GERDIS,1,,
BORR,3/21/25,6,Bare,0,,
BORR,3/21/25,6,Rock,0,,
BORR,3/21/25,6,Litter,30,,
BORR,3/21/25,6,CLAPUR,2,,
BORR,3/21/25,6,DAUPUS,5,,
BORR,3/21/25,6,EROBOT,10,,
BORR,3/21/25,6,Grass,12,,
BORR,3/21/25,6,MADGRA,2,,
BORR,3/21/25,6,GERDIS,2,,
BORR,3/21/25,6,GER-2,2,,
BORR,3/21/25,6,TORARV,1,,
BORR,3/21/25,6,VICSAT,1,,
BORR,3/21/25,6,GALPAR,1,,
BORR,3/21/25,6,TRI-2,1,,
BORR,3/21/25,6,TRIHIR,1,,
BORR,3/21/25,8,Bare,0,,
BORR,3/21/25,8,Rock,0,,
BORR,3/21/25,8,Litter,30,,
BORR,3/21/25,8,GERDIS,9,,
BORR,3/21/25,8,GER-2,3,,
BORR,3/21/25,8,Grass,25,,
BORR,3/21/25,8,CLAPUR,1,,
BORR,3/21/25,8,TORARV,1,,
BORR,3/21/25,8,VICSAT,1,,
BORR,3/21/25,8,TRIHIR,1,,
BORR,3/21/25,8,GALPAR,1,,
BORR,3/21/25,8,CLAPER,1,,
BORR,3/21/25,8,EROCIC,1,,
BORR,3/21/25,8,EROBOT,1,,
BORR,3/21/25,8,AMSMEN,1,,
BORR,3/21/25,8,TRI-2,1,10:27,
BORR,3/21/25,8,LUPBIC,1,,
BORR,3/21/25,5,Rock,0,,
BORR,3/21/25,5,Bare,3,,
BORR,3/21/25,5,Litter,50,,
BORR,3/21/25,5,Grass,8,,
BORR,3/21/25,5,GALPAR,1,,
BORR,3/21/25,5,TORARV,1,,
BORR,3/21/25,5,CLAPUR,1,,
BORR,3/21/25,5,VICSAT,1,,
BORR,3/21/25,5,MADGRA,1,,
BORR,3/21/25,5,GERDIS,1,,
BORR,3/21/25,5,TRI-3,2,TRIFUC? 10:33,
BORR,3/21/25,5,EROBOT,2,,
BORR,3/21/25,9,Rock,0,,
BORR,3/21/25,9,Bare,1,,
BORR,3/21/25,9,Litter,60,,
BORR,3/21/25,9,GERDIS,4,,
BORR,3/21/25,9,Grass,4,,
BORR,3/21/25,9,GALPAR,2,,
BORR,3/21/25,9,TORARV,1,,
BORR,3/21/25,9,CLAPUR,1,,
BORR,3/21/25,9,VICSAT,1,,
BORR,3/21/25,9,UNK-1,1,,
BORR,3/21/25,4,Bare,0,,
BORR,3/21/25,4,Rock,0,,
BORR,3/21/25,4,Grass,6,,
BORR,3/21/25,4,Litter,40,,
BORR,3/21/25,4,GERDIS,28,,
BORR,3/21/25,4,CLAPUR,2,,
BORR,3/21/25,4,VICSAT,1,,
BORR,3/21/25,4,TORARV,1,,
BORR,3/21/25,4,MADGRA,1,,
BORR,3/21/25,4,GER-2,4,,
BORR,3/21/25,2,Bare,2,,
BORR,3/21/25,2,Rock,0,,
BORR,3/21/25,2,Litter,30,,
BORR,3/21/25,2,GERDIS,20,,
BORR,3/21/25,2,CLAPUR,3,,
BORR,3/21/25,2,Grass,3,,
BORR,3/21/25,2,VICSAT,2,,
BORR,3/21/25,2,MADGRA,1,,
BORR,3/21/25,2,GALPAR,1,,
BORR,3/21/25,2,TORARV,1,,
BORR,3/21/25,2,GER-2,2,,
BORR,3/21/25,2,CLAPER,1,,
BORR,3/21/25,2,UNK BULB,1,10:50,
BORR,3/21/25,2,UNK CAR-2,1,10:50,
BORR,3/21/25,2,LUPBIC,1,,
BORR,3/21/25,2,TRI 2/3,1,,
BORR,3/21/25,10,Bare,0,,
BORR,3/21/25,10,Rock,0,,
BORR,3/21/25,10,Litter,25,,
BORR,3/21/25,10,GALPAR,2,,
BORR,3/21/25,10,GERDIS,17,,
BORR,3/22/25,10,Grass,20,,
BORR,3/23/25,10,TRI-2,3,Small,
BORR,3/24/25,10,VICSAT,5,,
BORR,3/25/25,10,CLAPUR,2,,
BORR,3/26/25,10,MADGRA,2,,
BORR,3/27/25,10,LUPBIC,1,,
BORR,3/28/25,3,Bare,1,,
BORR,3/29/25,3,Rock,0,,
BORR,3/30/25,3,Litter,30,,
BORR,3/31/25,3,CLAPER,1,,
BORR,4/1/25,3,CLAPUR,1,,
BORR,4/2/25,3,GALPAR,1,,
BORR,4/3/25,3,EUPPER,1,,
BORR,4/4/25,3,VICSAT,2,,
BORR,4/5/25,3,TRI 2/3,1,,
BORR,4/6/25,3,LUPBIC,1,,
BORR,4/7/25,3,TORARV,2,,
BORR,4/8/25,3,UNK CAR-1,1,,
BORR,4/9/25,3,MADGRA,1,,
BORR,4/12/25,3,Grass,10,,
OTL,4/12/25,E1,AVEBAR,22,"4, numbers in notes indicate phenology 1-10. 1 = completely vegetative, 10 = senesced",
OTL,4/12/25,E1,Bare,2,,
OTL,4/12/25,E1,Litter,1,,
OTL,4/12/25,E1,Rock,0,,
OTL,4/12/25,E1,PLANOT,24,5,
OTL,4/12/25,E1,ESCCAL,6,1,
OTL,4/12/25,E1,BROHOR,8,2,
OTL,4/12/25,E1,BRODIA,10,1,
OTL,4/12/25,E1,GALPAR,1,7,
OTL,4/12/25,E1,HYPGLA,10,2,
OTL,4/12/25,E1,EPI-1,1,1,
OTL,4/12/25,E1,AIRCAR,1,3,
OTL,4/12/25,E1,DAUPUS,1,1,
