Block,Shelter,Plot_number,Plot,Population,Treatment
1,A,1,A1,ANGELO,Drought
2,B,4,B4,ANGELO,Drought
3,C,3,C3,ANGELO,Drought
3,C,8,C8,ANGELO,Drought
4,D,1,D1,ANGELO,Control
5,E,1,E1,ANGELO,Control
5,E,3,E3,ANGELO,Control
1,F,1,F1,ANGELO,Control
2,G,6,G6,ANGELO,Control
2,G,7,G7,ANGELO,Control
3,H,2,H2,ANGELO,Control
3,H,6,H6,ANGELO,Control
4,I,5,I5,ANGELO,Drought
4,I,6,I6,ANGELO,Drought
4,I,8,I8,ANGELO,Drought
5,J,2,J2,ANGELO,Drought
1,A,3,A3,BORR,Drought
2,B,1,B1,BORR,Drought
2,B,7,B7,BORR,Drought
3,C,4,C4,BORR,Drought
3,C,5,C5,BORR,Drought
4,D,2,D2,BORR,Control
4,D,6,D6,BORR,Control
5,E,8,E8,BORR,Control
1,F,3,F3,BORR,Control
1,F,8,F8,BORR,Control
2,G,1,G1,BORR,Control
2,G,8,G8,BORR,Control
3,H,5,H5,BORR,Control
4,I,1,I1,BORR,Drought
4,I,4,I4,BORR,Drought
5,J,1,J1,BORR,Drought
1,A,5,A5,MCL,Drought
1,A,8,A8,MCL,Drought
2,B,2,B2,MCL,Drought
2,B,5,B5,MCL,Drought
3,C,1,C1,MCL,Drought
4,D,4,D4,MCL,Control
5,E,7,E7,MCL,Control
1,F,4,F4,MCL,Control
1,F,5,F5,MCL,Control
2,G,2,G2,MCL,Control
2,G,5,G5,MCL,Control
3,H,4,H4,MCL,Control
3,H,7,H7,MCL,Control
4,I,7,I7,MCL,Drought
5,J,3,J3,MCL,Drought
5,J,6,J6,MCL,Drought
1,A,6,A6,SEDG,Drought
1,A,7,A7,SEDG,Drought
2,B,3,B3,SEDG,Drought
2,B,6,B6,SEDG,Drought
3,C,2,C2,SEDG,Drought
4,D,7,D7,SEDG,Control
4,D,8,D8,SEDG,Control
5,E,5,E5,SEDG,Control
5,E,6,E6,SEDG,Control
1,F,6,F6,SEDG,Control
2,G,3,G3,SEDG,Control
3,H,1,H1,SEDG,Control
3,H,8,H8,SEDG,Control
4,I,2,I2,SEDG,Drought
5,J,5,J5,SEDG,Drought
5,J,8,J8,SEDG,Drought
1,A,2,A2,WWP,Drought
1,A,4,A4,WWP,Drought
2,B,8,B8,WWP,Drought
3,C,6,C6,WWP,Drought
3,C,7,C7,WWP,Drought
4,D,3,D3,WWP,Control
4,D,5,D5,WWP,Control
5,E,2,E2,WWP,Control
5,E,4,E4,WWP,Control
1,F,2,F2,WWP,Control
1,F,7,F7,WWP,Control
2,G,4,G4,WWP,Control
3,H,3,H3,WWP,Control
4,I,3,I3,WWP,Drought
5,J,4,J4,WWP,Drought
5,J,7,J7,WWP,Drought
