Plant_ID,Sp_Code,Scientific_Name,Native_Status,Growth_Habit,Rating,Source,Plot,Block,Shelter,Plot_number,Population,Treatment,var_mo,rate
D3.BROARE.1,BROARE,Bromus arenarius,Non-native,Grass,Non-native,CalFlora,D3,4,D,3,WWP,Control,rgr_l_FM,NA
D3.BROARE.1,BROARE,Bromus arenarius,Non-native,Grass,Non-native,CalFlora,D3,4,D,3,WWP,Control,rgr_l_MA,0.00317700599347749
D3.BROARE.1,BROARE,Bromus arenarius,Non-native,Grass,Non-native,CalFlora,D3,4,D,3,WWP,Control,rgr_l_AM,0.02786950302399402
D3.BROARE.1,BROARE,Bromus arenarius,Non-native,Grass,Non-native,CalFlora,D3,4,D,3,WWP,Control,rgr_l_MJ,NA
E4.BROARE.1,BROARE,Bromus arenarius,Non-native,Grass,Non-native,CalFlora,E4,5,E,4,WWP,Control,rgr_l_FM,NA
E4.BROARE.1,BROARE,Bromus arenarius,Non-native,Grass,Non-native,CalFlora,E4,5,E,4,WWP,Control,rgr_l_MA,0.00445104642081741
E4.BROARE.1,BROARE,Bromus arenarius,Non-native,Grass,Non-native,CalFlora,E4,5,E,4,WWP,Control,rgr_l_AM,0.00637553003754886
E4.BROARE.1,BROARE,Bromus arenarius,Non-native,Grass,Non-native,CalFlora,E4,5,E,4,WWP,Control,rgr_l_MJ,NA
E8.LUPBIC.1,LUPBIC,Lupinus bicolor,Native,Forb,Native,CalFlora,E8,5,E,8,BORR,Control,rgr_l_FM,0.05331901388922656
E8.LUPBIC.1,LUPBIC,Lupinus bicolor,Native,Forb,Native,CalFlora,E8,5,E,8,BORR,Control,rgr_l_MA,0.0130795196163924
E8.LUPBIC.1,LUPBIC,Lupinus bicolor,Native,Forb,Native,CalFlora,E8,5,E,8,BORR,Control,rgr_l_AM,NA
E8.LUPBIC.1,LUPBIC,Lupinus bicolor,Native,Forb,Native,CalFlora,E8,5,E,8,BORR,Control,rgr_l_MJ,NA
E7.LUPBIC.1,LUPBIC,Lupinus bicolor,Native,Forb,Native,CalFlora,E7,5,E,7,MCL,Control,rgr_l_FM,0.03524195122592904
E7.LUPBIC.1,LUPBIC,Lupinus bicolor,Native,Forb,Native,CalFlora,E7,5,E,7,MCL,Control,rgr_l_MA,0.04629304920288138
E7.LUPBIC.1,LUPBIC,Lupinus bicolor,Native,Forb,Native,CalFlora,E7,5,E,7,MCL,Control,rgr_l_AM,0.01610892540976283
E7.LUPBIC.1,LUPBIC,Lupinus bicolor,Native,Forb,Native,CalFlora,E7,5,E,7,MCL,Control,rgr_l_MJ,NA
H1.ESCCAL.1,ESCCAL,Eschscholzia californica,Native,Forb,Native,CalFlora,H1,3,H,1,SEDG,Control,rgr_l_FM,0.02543410839884743
H1.ESCCAL.1,ESCCAL,Eschscholzia californica,Native,Forb,Native,CalFlora,H1,3,H,1,SEDG,Control,rgr_l_MA,0.00927546372372645
