Plant_ID,Sp_Code,Scientific_Name,Native_Status,Growth_Habit,Rating,Source,Plot,Block,Shelter,Plot_number,Population,Treatment,var_mo,rate
D3.BROARE.1,BROARE,Bromus arenarius,Non-native,Grass,Non-native,CalFlora,D3,4,D,3,WWP,Control,rgr_v_FM,NA
D3.BROARE.1,BROARE,Bromus arenarius,Non-native,Grass,Non-native,CalFlora,D3,4,D,3,WWP,Control,rgr_v_MA,0.0656250948930128
D3.BROARE.1,BROARE,Bromus arenarius,Non-native,Grass,Non-native,CalFlora,D3,4,D,3,WWP,Control,rgr_v_AM,-0.03233481056457475
D3.BROARE.1,BROARE,Bromus arenarius,Non-native,Grass,Non-native,CalFlora,D3,4,D,3,WWP,Control,rgr_v_MJ,NA
E4.BROARE.1,BROARE,Bromus arenarius,Non-native,Grass,Non-native,CalFlora,E4,5,E,4,WWP,Control,rgr_v_FM,NA
E4.BROARE.1,BROARE,Bromus arenarius,Non-native,Grass,Non-native,CalFlora,E4,5,E,4,WWP,Control,rgr_v_MA,0.08112868071639617
E4.BROARE.1,BROARE,Bromus arenarius,Non-native,Grass,Non-native,CalFlora,E4,5,E,4,WWP,Control,rgr_v_AM,-0.00889843145611593
E4.BROARE.1,BROARE,Bromus arenarius,Non-native,Grass,Non-native,CalFlora,E4,5,E,4,WWP,Control,rgr_v_MJ,NA
E8.LUPBIC.1,LUPBIC,Lupinus bicolor,Native,Forb,Native,CalFlora,E8,5,E,8,BORR,Control,rgr_v_FM,0.09270453049218952
E8.LUPBIC.1,LUPBIC,Lupinus bicolor,Native,Forb,Native,CalFlora,E8,5,E,8,BORR,Control,rgr_v_MA,0.06020478471674605
E8.LUPBIC.1,LUPBIC,Lupinus bicolor,Native,Forb,Native,CalFlora,E8,5,E,8,BORR,Control,rgr_v_AM,NA
E8.LUPBIC.1,LUPBIC,Lupinus bicolor,Native,Forb,Native,CalFlora,E8,5,E,8,BORR,Control,rgr_v_MJ,NA
E7.LUPBIC.1,LUPBIC,Lupinus bicolor,Native,Forb,Native,CalFlora,E7,5,E,7,MCL,Control,rgr_v_FM,0.09767813651835563
E7.LUPBIC.1,LUPBIC,Lupinus bicolor,Native,Forb,Native,CalFlora,E7,5,E,7,MCL,Control,rgr_v_MA,0.1238211296108845
E7.LUPBIC.1,LUPBIC,Lupinus bicolor,Native,Forb,Native,CalFlora,E7,5,E,7,MCL,Control,rgr_v_AM,0.01598548938816475
E7.LUPBIC.1,LUPBIC,Lupinus bicolor,Native,Forb,Native,CalFlora,E7,5,E,7,MCL,Control,rgr_v_MJ,NA
H1.ESCCAL.1,ESCCAL,Eschscholzia californica,Native,Forb,Native,CalFlora,H1,3,H,1,SEDG,Control,rgr_v_FM,0.07513897300434838
H1.ESCCAL.1,ESCCAL,Eschscholzia californica,Native,Forb,Native,CalFlora,H1,3,H,1,SEDG,Control,rgr_v_MA,0.03777988691683342
H1.ESCCAL.1,ESCCAL,Eschscholzia californica,Native,Forb,Native,CalFlora,H1,3,H,1,SEDG,Control,rgr_v_AM,0.08456595809860785
H1.ESCCAL.1,ESCCAL,Eschscholzia californica,Native,Forb,Native,CalFlora,H1,3,H,1,SEDG,Control,rgr_v_MJ,0.02694201354375409
D8.ESCCAL.1,ESCCAL,Eschscholzia californica,Native,Forb,Native,CalFlora,D8,4,D,8,SEDG,Control,rgr_v_FM,0.11285515545636857
D8.ESCCAL.1,ESCCAL,Eschscholzia californica,Native,Forb,Native,CalFlora,D8,4,D,8,SEDG,Control,rgr_v_MA,0.04361109398833927
D8.ESCCAL.1,ESCCAL,Eschscholzia californica,Native,Forb,Native,CalFlora,D8,4,D,8,SEDG,Control,rgr_v_AM,0.06761801074809054
D8.ESCCAL.1,ESCCAL,Eschscholzia californica,Native,Forb,Native,CalFlora,D8,4,D,8,SEDG,Control,rgr_v_MJ,0.01437754221851081
J1.LUPBIC.1,LUPBIC,Lupinus bicolor,Native,Forb,Native,CalFlora,J1,5,J,1,BORR,Drought,rgr_v_FM,0.04457442582544996
J1.LUPBIC.1,LUPBIC,Lupinus bicolor,Native,Forb,Native,CalFlora,J1,5,J,1,BORR,Drought,rgr_v_MA,0.11408307004042934
J1.LUPBIC.1,LUPBIC,Lupinus bicolor,Native,Forb,Native,CalFlora,J1,5,J,1,BORR,Drought,rgr_v_AM,NA
J1.LUPBIC.1,LUPBIC,Lupinus bicolor,Native,Forb,Native,CalFlora,J1,5,J,1,BORR,Drought,rgr_v_MJ,NA
E6.ESCCAL.1,ESCCAL,Eschscholzia californica,Native,Forb,Native,CalFlora,E6,5,E,6,SEDG,Control,rgr_v_FM,0.09891992410683192
E6.ESCCAL.1,ESCCAL,Eschscholzia californica,Native,Forb,Native,CalFlora,E6,5,E,6,SEDG,Control,rgr_v_MA,0.08400365074933022
E6.ESCCAL.1,ESCCAL,Eschscholzia californica,Native,Forb,Native,CalFlora,E6,5,E,6,SEDG,Control,rgr_v_AM,0.05399837547639308
E6.ESCCAL.1,ESCCAL,Eschscholzia californica,Native,Forb,Native,CalFlora,E6,5,E,6,SEDG,Control,rgr_v_MJ,0.04863715207521668
I3.ESCCAL.1,ESCCAL,Eschscholzia californica,Native,Forb,Native,CalFlora,I3,4,I,3,WWP,Drought,rgr_v_FM,0.13518550665647938
I3.ESCCAL.1,ESCCAL,Eschscholzia californica,Native,Forb,Native,CalFlora,I3,4,I,3,WWP,Drought,rgr_v_MA,0.08683368772201236
I3.ESCCAL.1,ESCCAL,Eschscholzia californica,Native,Forb,Native,CalFlora,I3,4,I,3,WWP,Drought,rgr_v_AM,0.03736472712386139
I3.ESCCAL.1,ESCCAL,Eschscholzia californica,Native,Forb,Native,CalFlora,I3,4,I,3,WWP,Drought,rgr_v_MJ,-0.01900819666339802
I8.ESCCAL.1,ESCCAL,Eschscholzia californica,Native,Forb,Native,CalFlora,I8,4,I,8,ANGELO,Drought,rgr_v_FM,0.11478937664698366
I8.ESCCAL.1,ESCCAL,Eschscholzia californica,Native,Forb,Native,CalFlora,I8,4,I,8,ANGELO,Drought,rgr_v_MA,0.07972331733934848
I8.ESCCAL.1,ESCCAL,Eschscholzia californica,Native,Forb,Native,CalFlora,I8,4,I,8,ANGELO,Drought,rgr_v_AM,0.05371011128366855
I8.ESCCAL.1,ESCCAL,Eschscholzia californica,Native,Forb,Native,CalFlora,I8,4,I,8,ANGELO,Drought,rgr_v_MJ,0.04592658739913712
J3.LUPBIC.1,LUPBIC,Lupinus bicolor,Native,Forb,Native,CalFlora,J3,5,J,3,MCL,Drought,rgr_v_FM,0.10793923000344238
J3.LUPBIC.1,LUPBIC,Lupinus bicolor,Native,Forb,Native,CalFlora,J3,5,J,3,MCL,Drought,rgr_v_MA,0.14815608189556212
J3.LUPBIC.1,LUPBIC,Lupinus bicolor,Native,Forb,Native,CalFlora,J3,5,J,3,MCL,Drought,rgr_v_AM,0.06742270061372421
J3.LUPBIC.1,LUPBIC,Lupinus bicolor,Native,Forb,Native,CalFlora,J3,5,J,3,MCL,Drought,rgr_v_MJ,NA
J7.ESCCAL.1,ESCCAL,Eschscholzia californica,Native,Forb,Native,CalFlora,J7,5,J,7,WWP,Drought,rgr_v_FM,0.06788427871370802
J7.ESCCAL.1,ESCCAL,Eschscholzia californica,Native,Forb,Native,CalFlora,J7,5,J,7,WWP,Drought,rgr_v_MA,0.09725410394939354
J7.ESCCAL.1,ESCCAL,Eschscholzia californica,Native,Forb,Native,CalFlora,J7,5,J,7,WWP,Drought,rgr_v_AM,0.06730540740464397
J7.ESCCAL.1,ESCCAL,Eschscholzia californica,Native,Forb,Native,CalFlora,J7,5,J,7,WWP,Drought,rgr_v_MJ,-0.02011936430543779
J5.ESCCAL.1,ESCCAL,Eschscholzia californica,Native,Forb,Native,CalFlora,J5,5,J,5,SEDG,Drought,rgr_v_FM,0.11624480459457218
J5.ESCCAL.1,ESCCAL,Eschscholzia californica,Native,Forb,Native,CalFlora,J5,5,J,5,SEDG,Drought,rgr_v_MA,0.06449336445268347
J5.ESCCAL.1,ESCCAL,Eschscholzia californica,Native,Forb,Native,CalFlora,J5,5,J,5,SEDG,Drought,rgr_v_AM,0.07945410207486234
J5.ESCCAL.1,ESCCAL,Eschscholzia californica,Native,Forb,Native,CalFlora,J5,5,J,5,SEDG,Drought,rgr_v_MJ,-0.04525307677339402
J8.ESCCAL.1,ESCCAL,Eschscholzia californica,Native,Forb,Native,CalFlora,J8,5,J,8,SEDG,Drought,rgr_v_FM,0.11459919788398935
J8.ESCCAL.1,ESCCAL,Eschscholzia californica,Native,Forb,Native,CalFlora,J8,5,J,8,SEDG,Drought,rgr_v_MA,0.0799583643981272
J8.ESCCAL.1,ESCCAL,Eschscholzia californica,Native,Forb,Native,CalFlora,J8,5,J,8,SEDG,Drought,rgr_v_AM,0.04090126719445663
J8.ESCCAL.1,ESCCAL,Eschscholzia californica,Native,Forb,Native,CalFlora,J8,5,J,8,SEDG,Drought,rgr_v_MJ,-0.01450610362194579
G1.CLAPUR.1,CLAPUR,Clarkia purpurea,Native,Forb,Native,CalFlora,G1,2,G,1,BORR,Control,rgr_v_FM,0.11976879661730418
G1.CLAPUR.1,CLAPUR,Clarkia purpurea,Native,Forb,Native,CalFlora,G1,2,G,1,BORR,Control,rgr_v_MA,0.12020308272269076
G1.CLAPUR.1,CLAPUR,Clarkia purpurea,Native,Forb,Native,CalFlora,G1,2,G,1,BORR,Control,rgr_v_AM,0.02479697722995779
G1.CLAPUR.1,CLAPUR,Clarkia purpurea,Native,Forb,Native,CalFlora,G1,2,G,1,BORR,Control,rgr_v_MJ,NA
D3.AVEBAR.1,AVEBAR,Avena barbata,Non-native,Grass,Moderate,Cal IPC,D3,4,D,3,WWP,Control,rgr_v_FM,0.2368273746018774
D3.AVEBAR.1,AVEBAR,Avena barbata,Non-native,Grass,Moderate,Cal IPC,D3,4,D,3,WWP,Control,rgr_v_MA,0.12092592253796992
D3.AVEBAR.1,AVEBAR,Avena barbata,Non-native,Grass,Moderate,Cal IPC,D3,4,D,3,WWP,Control,rgr_v_AM,0.0795065021180188
D3.AVEBAR.1,AVEBAR,Avena barbata,Non-native,Grass,Moderate,Cal IPC,D3,4,D,3,WWP,Control,rgr_v_MJ,NA
G7.DANCAL.1,DANCAL,Danthonia californica,Native,Grass,Native,CalFlora,G7,2,G,7,ANGELO,Control,rgr_v_FM,NA
G7.DANCAL.1,DANCAL,Danthonia californica,Native,Grass,Native,CalFlora,G7,2,G,7,ANGELO,Control,rgr_v_MA,NA
G7.DANCAL.1,DANCAL,Danthonia californica,Native,Grass,Native,CalFlora,G7,2,G,7,ANGELO,Control,rgr_v_AM,NA
G7.DANCAL.1,DANCAL,Danthonia californica,Native,Grass,Native,CalFlora,G7,2,G,7,ANGELO,Control,rgr_v_MJ,-0.03839551709109581
H6.DANCAL.1,DANCAL,Danthonia californica,Native,Grass,Native,CalFlora,H6,3,H,6,ANGELO,Control,rgr_v_FM,NA
H6.DANCAL.1,DANCAL,Danthonia californica,Native,Grass,Native,CalFlora,H6,3,H,6,ANGELO,Control,rgr_v_MA,NA
H6.DANCAL.1,DANCAL,Danthonia californica,Native,Grass,Native,CalFlora,H6,3,H,6,ANGELO,Control,rgr_v_AM,NA
H6.DANCAL.1,DANCAL,Danthonia californica,Native,Grass,Native,CalFlora,H6,3,H,6,ANGELO,Control,rgr_v_MJ,-0.06121846367398319
E3.DANCAL.1,DANCAL,Danthonia californica,Native,Grass,Native,CalFlora,E3,5,E,3,ANGELO,Control,rgr_v_FM,NA
E3.DANCAL.1,DANCAL,Danthonia californica,Native,Grass,Native,CalFlora,E3,5,E,3,ANGELO,Control,rgr_v_MA,NA
E3.DANCAL.1,DANCAL,Danthonia californica,Native,Grass,Native,CalFlora,E3,5,E,3,ANGELO,Control,rgr_v_AM,NA
E3.DANCAL.1,DANCAL,Danthonia californica,Native,Grass,Native,CalFlora,E3,5,E,3,ANGELO,Control,rgr_v_MJ,0.01121006209737849
J2.DANCAL.1,DANCAL,Danthonia californica,Native,Grass,Native,CalFlora,J2,5,J,2,ANGELO,Drought,rgr_v_FM,NA
J2.DANCAL.1,DANCAL,Danthonia californica,Native,Grass,Native,CalFlora,J2,5,J,2,ANGELO,Drought,rgr_v_MA,NA
J2.DANCAL.1,DANCAL,Danthonia californica,Native,Grass,Native,CalFlora,J2,5,J,2,ANGELO,Drought,rgr_v_AM,NA
J2.DANCAL.1,DANCAL,Danthonia californica,Native,Grass,Native,CalFlora,J2,5,J,2,ANGELO,Drought,rgr_v_MJ,-0.00624240749514983
E1.DANCAL.1,DANCAL,Danthonia californica,Native,Grass,Native,CalFlora,E1,5,E,1,ANGELO,Control,rgr_v_FM,NA
E1.DANCAL.1,DANCAL,Danthonia californica,Native,Grass,Native,CalFlora,E1,5,E,1,ANGELO,Control,rgr_v_MA,NA
E1.DANCAL.1,DANCAL,Danthonia californica,Native,Grass,Native,CalFlora,E1,5,E,1,ANGELO,Control,rgr_v_AM,NA
E1.DANCAL.1,DANCAL,Danthonia californica,Native,Grass,Native,CalFlora,E1,5,E,1,ANGELO,Control,rgr_v_MJ,-0.04704304610642613
