"","location_id","longitude_loc","latitude_loc","lon","lat","year","month","spei48"
"1","SEDG",-120.0545,34.70243,-119.75,34.75,2015,1,-1.87852084636688
"2","WWP",-119.16882,34.91771,-119.25,34.75,2015,1,-1.88443529605865
"3","MCL",-121.72841,37.37914,-121.75,37.25,2015,1,-1.3605021238327
"4","BORR",-122.42114,38.87508,-122.75,38.75,2015,1,-1.14629423618317
"5","ANGELO",-123.6302,39.75141,-123.75,39.75,2015,1,-1.14635038375854
"6","SEDG",-120.0545,34.70243,-119.75,34.75,2015,2,-2.07713031768799
"7","WWP",-119.16882,34.91771,-119.25,34.75,2015,2,-2.06080293655396
"8","MCL",-121.72841,37.37914,-121.75,37.25,2015,2,-1.53816866874695
"9","BORR",-122.42114,38.87508,-122.75,38.75,2015,2,-1.2421555519104
"10","ANGELO",-123.6302,39.75141,-123.75,39.75,2015,2,-1.14457130432129
"11","SEDG",-120.0545,34.70243,-119.75,34.75,2015,3,-2.39476370811462
"12","WWP",-119.16882,34.91771,-119.25,34.75,2015,3,-2.3143789768219
"13","MCL",-121.72841,37.37914,-121.75,37.25,2015,3,-1.92708551883698
"14","BORR",-122.42114,38.87508,-122.75,38.75,2015,3,-1.54239392280579
"15","ANGELO",-123.6302,39.75141,-123.75,39.75,2015,3,-1.47685086727142
"16","SEDG",-120.0545,34.70243,-119.75,34.75,2015,4,-2.37724232673645
"17","WWP",-119.16882,34.91771,-119.25,34.75,2015,4,-2.26598501205444
"18","MCL",-121.72841,37.37914,-121.75,37.25,2015,4,-1.86461365222931
"19","BORR",-122.42114,38.87508,-122.75,38.75,2015,4,-1.52346909046173
"20","ANGELO",-123.6302,39.75141,-123.75,39.75,2015,4,-1.53200197219849
"21","SEDG",-120.0545,34.70243,-119.75,34.75,2015,5,-2.36986899375916
"22","WWP",-119.16882,34.91771,-119.25,34.75,2015,5,-2.26620364189148
"23","MCL",-121.72841,37.37914,-121.75,37.25,2015,5,-1.90426278114319
"24","BORR",-122.42114,38.87508,-122.75,38.75,2015,5,-1.57356858253479
"25","ANGELO",-123.6302,39.75141,-123.75,39.75,2015,5,-1.59444785118103
"26","SEDG",-120.0545,34.70243,-119.75,34.75,2015,6,-2.36992907524109
"27","WWP",-119.16882,34.91771,-119.25,34.75,2015,6,-2.27614760398865
"28","MCL",-121.72841,37.37914,-121.75,37.25,2015,6,-1.90848648548126
"29","BORR",-122.42114,38.87508,-122.75,38.75,2015,6,-1.58896279335022
"30","ANGELO",-123.6302,39.75141,-123.75,39.75,2015,6,-1.61021792888641
"31","SEDG",-120.0545,34.70243,-119.75,34.75,2015,7,-2.28779530525208
"32","WWP",-119.16882,34.91771,-119.25,34.75,2015,7,-2.1294116973877
"33","MCL",-121.72841,37.37914,-121.75,37.25,2015,7,-1.90727090835571
"34","BORR",-122.42114,38.87508,-122.75,38.75,2015,7,-1.58666718006134
"35","ANGELO",-123.6302,39.75141,-123.75,39.75,2015,7,-1.60806846618652
"36","SEDG",-120.0545,34.70243,-119.75,34.75,2015,8,-2.29717040061951
"37","WWP",-119.16882,34.91771,-119.25,34.75,2015,8,-2.14367127418518
"38","MCL",-121.72841,37.37914,-121.75,37.25,2015,8,-1.90068221092224
"39","BORR",-122.42114,38.87508,-122.75,38.75,2015,8,-1.58558583259583
"40","ANGELO",-123.6302,39.75141,-123.75,39.75,2015,8,-1.60046124458313
"41","SEDG",-120.0545,34.70243,-119.75,34.75,2015,9,-2.24743151664734
"42","WWP",-119.16882,34.91771,-119.25,34.75,2015,9,-2.08927965164185
"43","MCL",-121.72841,37.37914,-121.75,37.25,2015,9,-1.87996506690979
"44","BORR",-122.42114,38.87508,-122.75,38.75,2015,9,-1.58455765247345
"45","ANGELO",-123.6302,39.75141,-123.75,39.75,2015,9,-1.60203588008881
"46","SEDG",-120.0545,34.70243,-119.75,34.75,2015,10,-2.31696009635925
"47","WWP",-119.16882,34.91771,-119.25,34.75,2015,10,-2.15379500389099
"48","MCL",-121.72841,37.37914,-121.75,37.25,2015,10,-1.96943783760071
"49","BORR",-122.42114,38.87508,-122.75,38.75,2015,10,-1.67569935321808
"50","ANGELO",-123.6302,39.75141,-123.75,39.75,2015,10,-1.73331785202026
"51","SEDG",-120.0545,34.70243,-119.75,34.75,2015,11,-2.29920148849487
"52","WWP",-119.16882,34.91771,-119.25,34.75,2015,11,-2.13859724998474
"53","MCL",-121.72841,37.37914,-121.75,37.25,2015,11,-1.82538962364197
"54","BORR",-122.42114,38.87508,-122.75,38.75,2015,11,-1.68680441379547
"55","ANGELO",-123.6302,39.75141,-123.75,39.75,2015,11,-1.68594360351562
"56","SEDG",-120.0545,34.70243,-119.75,34.75,2015,12,-2.22911739349365
"57","WWP",-119.16882,34.91771,-119.25,34.75,2015,12,-2.10441136360168
"58","MCL",-121.72841,37.37914,-121.75,37.25,2015,12,-1.63986659049988
"59","BORR",-122.42114,38.87508,-122.75,38.75,2015,12,-1.38534104824066
"60","ANGELO",-123.6302,39.75141,-123.75,39.75,2015,12,-1.23981189727783
