Population,Precip,Species,Sp_Code,Dominance Rank,1,2,3,10,30,seed_mass_avg,Weight Bulk 1,Weight Bulk 2,Weight Bulk 3,Weight Bulk 4,Weight Bulk 5,Weight Bulk 6,Weight Bulk 7,Weight Bulk Total,Total Seed Count,Seeds/plot,Notes,
WWP ,300,Phacelia tanacetifolia,PHATAN,1,0.0021,0.0041,0.0056,0.019,0.0535,0.0018,3.3323,0.9906,,,,,,4.3229,2401.611111,20,,
WWP ,300,Erodium cicutarium,EROCIC,2,0.0012,0.0041,0.0061,0.0213,0.0672,0.0023,0.5106,0.4429,0.4548,,,,,1.4083,612.3043478,20,,
WWP ,300,Bromus madritensis,BROMAD,3,0.0023,0.0043,0.0069,0.0228,0.0666,0.0022,2.517,0.5579,0.3336,,,,,3.4085,1549.318182,20,,
WWP ,300,Bromus diandrus,BRODIA,4,0.0127,0.0235,0.0384,0.1154,0.319,0.0105,2.8071,3.8008,3.6495,1.3842,3.3051,4.0797,,19.0264,1812.038095,20,,
WWP ,300,Eschscholzia californica,ESCCAL,5,0.0015,0.0028,0.0036,0.015,0.0417,0.0014,2.1811,0.1241,1.017,,,,,3.3222,2373,20,,
WWP ,300,Bromus arenarius,BROARE,6,0.0055,0.0096,0.0142,0.0526,0.1522,0.0051,3.5129,3.1443,,,,,,6.6572,1305.333333,20,,
WWP ,300,Caulanthus coulteri,CAUCOU,7,0.0026,,0.0082,0.027,0.0628,0.0027,8.016,,,,,,,8.016,2968.888889,20,,
WWP ,300,Avena barbata,AVEBAR,8,0.0099,0.0192,0.0291,0.0973,0.2873,0.0096,3.5374,2.0335,2.1951,,,,,7.766,808.9583333,20,,
WWP ,300,Lupinus microcarpus,LUPMIC,9,0.0298,0.056,0.0862,0.259,0.7952,0.0263,9.0758,,,,,,,9.0758,345.0874525,20,,
WWP ,300,Mirabilis multiflora,MIRMUL,10,0.0695,0.1278,0.2073,0.6124,1.6011,0.0406,9.5582,8.0187,,,,,,17.5769,432.9285714,18,,
WWP ,300,Amsinkia menziesii,AMSMEN,,,,,,,,,,,,,,,,,20,,
WWP ,300,Lupinus succulentus,LUPSUC,,,,,,,,,,,,,,,,124,7,,
SEDG ,400,Erodium cicutarium,EROCIC,1,0.0018,0.0035,0.0047,0.0159,0.0462,0.0015,0.0818,0.1046,0.1556,,,,,0.342,228,20,,
SEDG ,400,Centaurea melitensis,CENMEL,2,0.0024,0.0047,0.0068,0.0197,0.0574,0.0019,1.1735,,,,,,,1.1735,617.6315789,20,"Early, could get more",
SEDG ,400,Eschscholzia californica,ESCCAL,3,0.0017,0.0035,0.0049,0.0163,0.0497,0.0017,0.004,5.4211,0.9135,,,,,6.3386,3728.588235,20,,
SEDG ,400,Stipa pulchra,STIPUL,4,0.0061,0.011,0.013,0.0412,0.1294,0.0043,2.6938,,,,,,,2.6938,626.4651163,20,,
SEDG ,400,Avena fatua,AVEFAT,5,0.0213,0.0488,0.0693,0.2705,0.7611,0.0255,5.149,5.3492,,,,,,10.4982,411.6941176,20,,
SEDG ,400,Bromus diandrus,BRODIA,6,0.0131,0.0258,0.0411,0.1489,0.4254,0.0143,5.7134,2.6585,,,,,,8.3719,585.4475524,20,,
SEDG ,400,Bromus hordeaceaus,BROHOR,7,0.0013,0.0031,0.0047,0.0191,0.0504,0.0017,0.8691,1.5855,,,,,,2.4546,1443.882353,20,,
SEDG ,400,Corethrogyne filaginafolia,CORFIL,8,0.0005,0.001,0.002,0.0054,0.0187,0.0006,0.1412,,,,,,,0.1412,235.3333333,18,Need to email Frank,
SEDG ,400,Bromus madritensis,BROMAD,9,0.0024,0.0043,0.006,0.0194,0.0583,0.0019,1.8974,1.9922,,,,,,3.8896,2047.157895,20,,
SEDG ,400,Calindrinia menziesii,CALMEN,10,0.0005,0.0012,0.0018,0.0049,0.0145,0.0005,0.1604,,,,,,,0.1604,320.8,20,,
SEDG ,400,Micropus californicus,MICCAL,,,,,,,,,,,,,,,,,20,,
BORR,500,Madia gracilis,MADGRA,1,0.0035,0.0056,0.0071,0.0245,0.0601,0.002,4.0994,,,,,,,4.0994,2049.7,20,"Early, could get more",
BORR,500,Lupinus bicolor,LUPBIC,2,0.0114,0.0209,0.035,0.1117,0.3082,0.0102,9.9522,3.0781,0.036,,,,,13.0663,1281.009804,20,,
BORR,500,Erodium botrys,EROBOT,3,0.0059,0.0107,0.0148,0.0466,0.1436,0.0048,1.1448,,,,,,,1.1448,238.5,14,,
BORR,500,Avena barbata,AVEBAR,4,0.0178,0.0341,0.0508,0.1729,0.5004,0.0167,2.3562,,,,,,,2.3562,141.0898204,8,,
