Sample,Site,NH4-N,NO3-N
1,OTL, 5.18, 0.84
2,OTL, 5.63, 0.56
3,OTL, 5.98, 0.56
4,OTL, 6.03, 0.83
5,OTL, 5.68, 0.56
6,OTL, 4.65, 0.51
7,OTL, 4.83, 0.43
8,OTL, 5.18, 0.54
9,OTL, 4.78, 0.44
10,OTL, 4.49, 0.49
1,ACR,5.1,<0.10
2,ACR,5.45,0.13
3,ACR,4.13,0.12
4,ACR,3.37,<0.10
5,ACR,3.53,<0.10
6,ACR,3.64,<0.10
7,ACR,3.38,0.11
8,ACR,3.61,<0.10
9,ACR,3.97,0.14
10,ACR,4.35,0.44
11,WWP,1.74,1.86
12,WWP,2.55,3.26
13,WWP,1.62,2.44
14,WWP,1.84,2.57
15,WWP,1.76,5.02
16,WWP,1.57,2.96
17,WWP,2.47,6.42
18,WWP,2.02,2.37
19,WWP,2.68,2.73
20,WWP,3.39,2.55
21,MCL,3.3,<0.10
22,MCL,3.52,<0.10
23,MCL,3.14,0.22
24,MCL,4.56,0.18
25,MCL,3.83,0.16
26,MCL,3.42,<0.10
27,MCL,2.79,0.38
28,MCL,3.24,0.21
29,MCL,3.05,0.19
30,MCL,4.34,0.15
31,BORR,4.15,2.25
32,BORR,4.32,0.34
33,BORR,3.55,0.63
34,BORR,3.32,0.46
35,BORR,3.33,0.21
36,BORR,3.33,0.19
37,BORR,3.76,0.21
38,BORR,4.06,0.45
39,BORR,3.33,0.86
40,BORR,4.63,0.18
41,SEDG,6.6,1.2
42,SEDG,5.6,0.8
43,SEDG,4.32,1.71
44,SEDG,10.7,3.62
45,SEDG,4.75,1.79
46,SEDG,3.19,2.02
47,SEDG,6.2,2.29
48,SEDG,4.76,2.97
49,SEDG,5.8,1.06
50,SEDG,5.6,1.24
