Scientific_Name,Sp_Code,Native_Status,Growth_Habit,Growth_2,Perenniality,Rating,Rating_2,Source
Amsinckia menziesii,AMSMEN,Native,Forb,Forb,Annual,Native,Native,CalFlora
Acmispon parviflorus,ACMPAR,Native ,Forb,Nfixer,Annual,Native,Native,CalFlora
Aira caryophyllea,AIRCAR,Non-native,Grass,Grass,Annual,Non-native,Non-native,CalFlora
Avena barbata,AVEBAR,Non-native,Grass,Grass,Annual,Moderate,Invasive,Cal IPC
Avena fatua,AVEFAT,Non-native,Grass,Grass,Annual,Moderate,Invasive,Cal IPC
Bromus diandrus,BRODIA,Non-native,Grass,Grass,Annual,Moderate,Invasive,Cal IPC
Bromus hordeaceaus,BROHOR,Non-native,Grass,Grass,Annual,Limited,Invasive,Cal IPC
Bromus madritensis,BROMAD,Non-native,Grass,Grass,Annual,High,Invasive,Cal IPC
Bromus arenarius,BROARE,Non-native,Grass,Grass,Annual,Non-native,Non-native,CalFlora
Calandrinia menziesii,CALMEN,Native ,Forb,Forb,Annual,Native,Native,CalFlora
Caulanthus coulteri,CAUCOU,Native ,Forb,Forb,Annual,Native,Native,CalFlora
Centaurea melitensis,CENMEL,Non-native,Forb,Forb,Annual,Moderate,Invasive,Cal IPC
Clarkia purpurea,CLAPUR,Native ,Forb,Forb,Annual,Native,Native,CalFlora
Corethrogyne filaginafolia,CORFIL,Native ,Forb,Forb,Perennial ,Native,Native,CalFlora
Danthonia californica,DANCAL,Native ,Grass,Grass,Perennial ,Native,Native,CalFlora
Daucus pusillus,DAUPUS,Native ,Forb,Forb,Annual,Native,Native,CalFlora
Elymus caput-medusae,ELYCAP,Non-native,Grass,Grass,Annual,High,Invasive,Cal IPC
Erodium botrys,EROBOT,Non-native,Forb,Forb,Annual,Non-native,Non-native,CalFlora
Erodium cicutarium,EROCIC,Non-native,Forb,Forb,Annual,Non-native,Non-native,CalFlora
Eschscholzia californica,ESCCAL,Native ,Forb,Forb,Perennial ,Native,Native,CalFlora
Galium parisiense,GALPAR,Non-native,Forb,Forb,Annual,Non-native,Non-native,CalFlora
Geranium dissectum,GERDIS,Non-native,Forb,Forb,Annual,Limited,Invasive,Cal IPC
Holocarpha virgata,HOLVIR,Native ,Forb,Forb,Annual,Native,Native,CalFlora
Hypochaeris glabra,HYPGLA,Non-native,Forb,Forb,Annual,Limited,Invasive,Cal IPC
Lupinus bicolor,LUPBIC,Native ,Forb,Nfixer,Annual,Native,Native,CalFlora
Lupinus microcarpus,LUPMIC,Native ,Forb,Nfixer,Annual,Native,Native,CalFlora
Madia gracilis,MADGRA,Native ,Forb,Forb,Annual,Native,Native,CalFlora
Micropus californicus,MICCAL,Native ,Forb,Forb,Annual,Native,Native,CalFlora
Mirabilis multiflora,MIRMUL,Native ,Forb,Forb,Perennial ,Native,Native,CalFlora
Phacelia tanacetifolia,PHATAN,Native ,Forb,Forb,Annual,Native,Native,CalFlora
Plantago erecta,PLAERE,Native ,Forb,Forb,Annual,Native,Native,CalFlora
Sanicula bipinnatifida,SANBIP,Native ,Forb,Forb,Perennial ,Native,Native,CalFlora
Stipa pulchra,STIPUL,Native ,Grass,Grass,Perennial ,Native,Native,CalFlora
Torilis arvensis,TORARV,Non-native,Forb,Forb,Annual,Moderate,Invasive,Cal IPC
Trifolium hirtum,TRIHIR,Non-native,Forb,Nfixer,Annual,Limited,Invasive,Cal IPC
Vicia sativa,VICSAT,Non-native,Forb,Nfixer,Annual,Non-native,Non-native,CalFlora
