Site,Species,SpCode
Angelo Coast Range Reserve,Acmispon parviflorus,ACMPAR
Angelo Coast Range Reserve,Aira caryophyllea,AIRCAR
Angelo Coast Range Reserve,Bromus diandrus,BRODIA
Angelo Coast Range Reserve,Bromus hordeaceus,BROHOR
Angelo Coast Range Reserve,Clarkia purpurea,CLAPUR
Angelo Coast Range Reserve,Danthonia californica,DANCAL
Angelo Coast Range Reserve,Daucus pusillus,DAUPUS
Angelo Coast Range Reserve,Eschscholzia californica,ESCCAL
Angelo Coast Range Reserve,Galium parisiense,GALPAR
Angelo Coast Range Reserve,Hypochaeris glabra,HYPGLA
Angelo Coast Range Reserve,Madia gracilis,MADGRA
Angelo Coast Range Reserve,Sanicula bipinnatifida,SANBIP
Blue Oak Ranch Reserve,Avena barbata,AVEBAR
Blue Oak Ranch Reserve,Bromus diandrus,BRODIA
Blue Oak Ranch Reserve,Bromus hordeaceus,BROHOR
Blue Oak Ranch Reserve,Clarkia purpurea,CLAPUR
Blue Oak Ranch Reserve,Daucus pusillus,DAUPUS
Blue Oak Ranch Reserve,Erodium botrys,EROBOT
Blue Oak Ranch Reserve,Geranium dissectum,GERDIS
Blue Oak Ranch Reserve,Lupinus bicolor,LUPBIC
Blue Oak Ranch Reserve,Madia gracilis,MADGRA
Blue Oak Ranch Reserve,Torilis arvensis,TORARV
Blue Oak Ranch Reserve,Trifolium hirtum,TRIHIR
Blue Oak Ranch Reserve,Vicia sativa,VICSAT
McLaughlin Natural Reserve,Avena barbata,AVEBAR
McLaughlin Natural Reserve,Bromus diandrus,BRODIA
McLaughlin Natural Reserve,Bromus hordeaceus,BROHOR
McLaughlin Natural Reserve,Bromus madritensis,BROMAD
McLaughlin Natural Reserve,Clarkia purpurea,CLAPUR
McLaughlin Natural Reserve,Elymus caput-medusae,ELYCAP
McLaughlin Natural Reserve,Erodium botrys,EROBOT
McLaughlin Natural Reserve,Holocarpha virgata,HOLVIR
McLaughlin Natural Reserve,Lupinus bicolor,LUPBIC
McLaughlin Natural Reserve,Micropus californicus,MICCAL
McLaughlin Natural Reserve,Plantago erecta,PLAERE
McLaughlin Natural Reserve,Trifolium hirtum,TRIHIR
Sedgwick Reserve,Avena fatua,AVEFAT
Sedgwick Reserve,Bromus diandrus,BRODIA
Sedgwick Reserve,Bromus hordeaceus,BROHOR
Sedgwick Reserve,Bromus madritensis,BROMAD
Sedgwick Reserve,Calandrinia menziesii,CALMEN
Sedgwick Reserve,Centaurea melitensis,CENMEL
Sedgwick Reserve,Corethrogyne filaginifolia,CORFIL
Sedgwick Reserve,Erodium cicutarium,EROCIC
Sedgwick Reserve,Eschscholzia californica,ESCCAL
Sedgwick Reserve,Micropus californicus,MICCAL
Sedgwick Reserve,Stipa pulchra,STIPUL
Wind Wolves Preserve,Amsinckia menziesii,AMSMEN
Wind Wolves Preserve,Avena barbata,AVEBAR
Wind Wolves Preserve,Bromus arenarius,BROARE
Wind Wolves Preserve,Bromus diandrus,BRODIA
Wind Wolves Preserve,Bromus madritensis,BROMAD
Wind Wolves Preserve,Caulanthus coulteri,CAUCOU
Wind Wolves Preserve,Erodium cicutarium,EROCIC
Wind Wolves Preserve,Eschscholzia californica,ESCCAL
Wind Wolves Preserve,Lupinus microcarpus,LUPMIC
Wind Wolves Preserve,Lupinus succulentus,LUPSUC
Wind Wolves Preserve,Phacelia tanacetifolia,PHATAN
Wind Wolves Preserve,Mirabilis multiflora,MIRMUL
