sample,total.leaf.area
A2AMSMEN2_20230403,4.138
A4AMSMEN2_20230403,4.041
B8AMSMEN2_20230403,1.869
C6AMSMEN2_20230403a,3.221
C6AMSMEN2_20230405,1.616
C7AMSMEN2_20230403,1.451
E2AMSMEN2_20230405,1.686
F7AMSMEN2_20230403,1.972
G4AMSMEN2_20230403,3.417
I2AMSMEN2_20230405,2.894
J4AMSMEN2_20230405,2.826
J7AMSMEN2_20230405,2.013
A2AVEBAR2_20230422,3.12
A3AVEBAR2_20230422,3.51
A4AVEBAR2_20230422,3.292
A5AVEBAR2_20230422,2.389
A7AVEBAR1_20230422,2.159
A8AVEBAR2_20230422,3.542
B1AVEBAR1_20230422,3.096
B2AVEBAR2_20230422,3.591
B5AVEBAR2_20230422,3.734
B8AVEBAR2_20230422,2.482
C1AVEBAR2_20230422,3.324
C2AVEBAR1_20230421,3.04
C4AVEBAR1_20230421,1.731
C6AVEBAR2_20230421,2.569
C7AVEBAR2_20230421,2.095
D2AVEBAR2_20230421,2.61
D3AVEBAR2_20230421,2.042
D4AVEBAR2_20230421,2.293
D5AVEBAR2_20230421,2.238
D6AVEBAR2_20230421,1.577
E2AVEBAR2_20230421,1.906
E4AVEBAR2_20230421,2.231
E5AVEBAR2_20230421,2.144
E6AVEBAR2_20230421,2.302
E7AVEBAR2_20230421,2.305
E8AVEBAR2_20230421,3.393
F2AVEBAR2_20230422,2.062
F3AVEBAR2_20230422,2.641
F4AVEBAR2_20230422,2.34
F5AVEBAR2_20230422,1.694
F6AVEBAR1_20230422,3.959
F7AVEBAR2_20230422,2.307
F8AVEBAR2_20230422,2.599
G1AVEBAR2_20230421,1.494
G2AVEBAR2_20230422,2.257
G3AVEBAR2_20230422,2.587
G4AVEBAR2_20230422,1.562
G5AVEBAR2_20230422,2.684
G8AVEBAR1_20230421,3.372
H3AVEBAR2_20230421,1.642
H4AVEBAR2_20230421,1.441
H5AVEBAR2_20230421,2.767
H7AVEBAR2_20230421,2.097
H8AVEBAR2_20230421,2.375
I1AVEBAR2_20230421,1.776
I2AVEBAR2_20230421,3.802
I3AVEBAR2_20230421,2.151
I4AVEBAR2_20230421,2.637
I7AVEBAR2_20230421,3.292
J1AVEBAR2_20230421,3.092
J3AVEBAR2_20230421,2.832
J4AVEBAR2_20230421,2.154
J5AVEBAR2_20230421,1.92
J6AVEBAR2_20230421,3.035
J7AVEBAR2_20230421,2.565
J8AVEBAR2_20230421,3.91
A2BROARE2_20230324,1.943
A4BROARE2_20230324,1.541
B8BROARE2_20230324,1.557
C6BROARE2_20230324,1.982
C7BROARE2_20230324,1.897
D3BROARE2_20230324,1.881
D5BROARE2_20230324,2.115
E2BROARE2_20230324,1.726
E4BROARE2_20230324,1.722
F2BROARE2_20230324,1.754
F7BROARE2_20230324,1.536
G4BROARE2_20230324,1.303
H3BROARE2_20230324,1.782
I3BROARE2_20230324,1.696
J4BROARE2_20230324,1.807
J7BROARE2_20230324,1.729
A1BRODIA2_20230429,2.278
A2BRODIA2_20230429,1.65
A3BRODIA1_20230428,1.577
A4BRODIA2_20230430,1.408
A5BRODIA2_20230430,2.088
A6BRODIA2_20230430,1.325
A7BRODIA2_20230430,2.017
A8BRODIA2_20230430,1.68
B1BRODIA2_20230430,1.709
B2BRODIA2_20230430,1.468
B3BRODIA2_20230430,2.381
B4BRODIA2_20230430,2.278
B5BRODIA2_20230430,1.485
B6BRODIA2_20230430,2.454
B7BRODIA2_20230430,2.28
