Sys,Sys,Sys,Sys,Sys,UserDefCon,UserDefVar,GasEx,GasEx,GasEx,GasEx,GasEx,GasEx,GasEx,GasEx,GasEx,GasEx,GasEx,GasEx,GasEx,GasEx,GasEx,GasEx,GasEx,GasEx,GasEx,GasEx,GasEx,GasEx,GasEx,Leak,Leak,Leak,Leak,Leak,FLR,FLR,FLR,FLR,FLR,FLR,FLR,FLR,FLR,FLR,FLR,FLR,FLR,FLR,FLR,FLR,FLR,FLR,FLR,FLR,FLR,FLR,FLR,FLR,FLR,FLR,FLR,FLR,MPF,MPF,MPF,MPF,MPF,MPF,MPF,MPF,LeafQ,LeafQ,LeafQ,LeafQ,Const,Const,Const,Const,Meas,Meas,Meas,Meas,Meas,Meas,Meas,Meas,Meas,Meas,Meas,Meas,Meas,Meas,Meas,Meas,Meas,Meas,FlrLS,FlrLS,FlrLS,FlrLS,FlrLS,FlrLS,FlrLS,FlrLS,FlrLS,FlrLS,FlrLS,FlrLS,FlrLS,FlrLS,FlrLS,FlrLS,FlrLS,FlrLS,FlrStats,FlrStats,FlrStats,FlrStats,FlrStats,MchEvent,MchEvent,MchEvent,MchEvent,MchEvent,MchEvent,MchEvent,MchEvent,MchEvent,MchEvent,MchEvent,MchEvent,MchEvent,Stability,Stability,Stability,Stability,Stability,Stability,Stability,Stability,Stability,Stability,Stability,Stability,Stability,Stability,Stability,MchStatus,MchStatus,MchStatus,MchStatus,MchStatus,MchStatus,MchStatus,MchStatus,MchStatus,MchStatus,MchStatus,MchStatus,MchStatus,MchStatus,MchStatus,MchStatus,MchStatus,MchStatus,Status,Status,Status,Status,Status,Status,Status,Status,Status,Status,Status,Status,Status,Status,Status,Status
obs,time,elapsed,date,hhmmss,plant id,WUE,TIME,E,A,Ca,Ci,Pci,Pca,gsw,gbw,gtw,gtc,Rabs,TleafEB,TleafCnd,SVPleaf,RHcham,VPcham,SVPcham,VPDleaf,LatHFlux,SenHFlux,NetTherm,EBSum,Leak,LeakPct,CorrFact,CorrFactPct,Fan,DarkAdaptedID,Qmax_d,Fo,Fm,Fv,Fv/Fm,Adark,LightAdaptedID,Qmax,Fs,Fm',PhiPS2,PS2/1,Qabs_fs,Afs,ETR,Fv'/Fm',PhiCO2,NPQ,DarkPulseID,Fo',Fv',qP,qN,qP_Fo,qN_Fo,qL,1-qL,ID,P1_dur,P2_dur,P3_dur,P1_Qmax,P1_Fmax,P2_dQdt,P3_ΔF,Qin,Qabs,alpha,convert,S,K,Geometry,Custom,TIME,CO2_s,CO2_r,H2O_s,H2O_r,CO2_a,H2O_a,Flow,Pa,ΔPcham,Tair,Tleaf,Tleaf2,Offset,Offset2,Fan_speed,Qamb_in,Qamb_out,Q,f_red,f_blue,f_farred,F,Q_modavg,F_dc,Pc,Tled,TDigital,TPreamp,TPwrSpy,TDrive,Q_red,Q_blue,Q_farred,TSPF,state,F_avg,dF/dt,dF_dc/dt,F_dc_avg,period,time,hhmmss,co2_t,h2o_t,count,co2_adj,h2o_adj,co2_match,h2o_match,co2_at,h2o_at,co2_cv,h2o_cv,ΔCO2:MN,ΔCO2:SLP,ΔCO2:SD,ΔCO2:OK,F:MN,F:SLP,F:SD,F:OK,ΔH2O:MN,ΔH2O:SLP,ΔH2O:SD,ΔH2O:OK,Stable,Total,State,MatchValveR,MatchValveS,MatchCO2,MatchH2O,cf_co2_a,cf_co2_b,cf_co2_c,cf_co2_d,cf_h2o_a,cf_h2o_b,cf_h2o_c,cf_h2o_d,co2_fit_low,co2_fit_high,h2o_fit_low,h2o_fit_high,co2_elapsed,h2o_elapsed,DIAG,Flow_s,Flow_r,Txchg,Tirga,Tchopper,Ts,Tr,CO2_%,Desiccant_%,Humidifier_%,Txchg_sp,CO2_r_sp,H2O_r_sp,SS_s,SS_r
,s,s,,,,,s,mol m⁻² s⁻¹,µmol m⁻² s⁻¹,µmol mol⁻¹,µmol mol⁻¹,Pa,Pa,mol m⁻² s⁻¹,mol m⁻² s⁻¹,mol m⁻² s⁻¹,mol m⁻² s⁻¹,W m⁻²,°C,°C,kPa,%,kPa,kPa,kPa,W m⁻²,W m⁻²,W m⁻²,W m⁻²,µmol s⁻¹,%,,%,µmol s⁻¹,,,,,,,µmol m⁻² s⁻¹,,,,,,,µmol m⁻² s⁻¹,µmol m⁻² s⁻¹,µmol m⁻² s⁻¹,,µmol µmol⁻¹,,,,,,,,,,,,ms,ms,ms,µmol m⁻² s⁻¹,,mol m⁻² s⁻²,,µmol m⁻² s⁻¹,µmol m⁻² s⁻¹,,J/µmol,cm²,,,mol m⁻² s⁻¹,s,µmol mol⁻¹,µmol mol⁻¹,mmol mol⁻¹,mmol mol⁻¹,µmol mol⁻¹,mmol mol⁻¹,µmol s⁻¹,kPa,kPa,°C,°C,°C,°C,°C,rpm,µmol m⁻² s⁻¹,µmol m⁻² s⁻¹,µmol m⁻² s⁻¹,,,,,µmol m⁻² s⁻¹,,,°C,°C,°C,°C,°C,µmol m⁻² s⁻¹,µmol m⁻² s⁻¹,µmol m⁻² s⁻¹,s,,,min⁻¹,min⁻¹,,s,secs,,s,s,,µmol/mol,mmol/mol,µmol/mol,mmol/mol,µmol/mol,mmol/mol,%,%,µmol mol⁻¹,µmol mol⁻¹ min⁻¹,µmol mol⁻¹,,, min⁻¹,,,mmol mol⁻¹,mmol mol⁻¹ min⁻¹,mmol mol⁻¹,,,,,%,%,µmol/mol,mmol/mol,mmol/mol,,,,mmol/mol,,,,µmol mol⁻¹,µmol mol⁻¹,mmol mol⁻¹,mmol mol⁻¹,min,min,,µmol s⁻¹,µmol s⁻¹,°C,°C,°C,°C,°C,%,%,%,°C,µmol mol⁻¹,mmol mol⁻¹,%,%
1,1681233174,0,20230411 10:12:53,10:12:53,a3.gerdis.2,29.5443179,1681233166,0.005612179,10.81675071,386.9899667,327.6702595,33.31134663,39.34185831,0.366119494,2.95754254,0.342675497,0.216153315,321.4440568,23.73158213,23.61333333,2.926112412,45.13099264,1.295724657,2.871030707,1.630387755,-247.4971041,-50.23538235,-3.537283853,20.17428654,0,0,1,0,54395.62275,RECT-1505-20210918-17_20_47,10288.4,812.936,2752.91,1939.974,0.704699391,-1,MPF-400-20230411-10_22_31,10204.5,2.168469231,2.2528,0.037433758,0.5,1681.19272,10.81675071,31.46668042,1,0.00702879,1220.994851,-,0,2.2528,0.037433758,0.999181666,-0.000104024,1.417883539,0,1,400,300,300,300,10204.5,1.52,-0.00680846,-0.46,1999.991333,1681.19272,0.840600003,0.191200005,6,0.5,0: Broadleaf,2,1681233166,386.9899667,399.9760667,12.74552,7.205940667,396.7276333,13.33699333,600.1158667,101.5512,0.109984267,23.29827333,23.61333333,999.9,0,0,10005.24833,0,23.59914333,1999.991333,0.9800002,0.0199995,0,2.169233333,0,9658.49,16305.99,41.187,42.75826667,41.937,40.812,40.4496,1959.991333,40,0,1681233750,0,2.168469231,-0.785552143,-773.8598298,9656.033077,15,1681233148,10:12:27,1681233139,1681233148,3,0.115,-0.019,-9.836,-0.593,400,7,0.17,0.02,-13.00795,0.773842402,0.252103197,0,2.179269697,-0.307627935,0.191616972,1,5.41038575,1.502478912,0.270237767,0,1,3,3-Jan,100,100,-9.738,-0.5917,-6.627878743,-0.007814304,-3.18E-07,6.48E-10,-0.465222568,-0.027428369,0.001386821,-3.01E-06,5,2011,2,27,0.6,0.4,2,617.141,422.988,19.9998,26.4101,30.0011,26.3352,26.331,21.0345,59.8489,0,20,400,7.55655,101.559,103.062
2,1681233216,42.5,20230411 10:13:36,10:13:36,a3.gerdis.2,31.50579962,1681233208,0.005223782,10.78421855,387.1223871,324.7817971,33.0178585,39.35550672,0.342293123,2.957838924,0.321711123,0.20281545,321.4426599,23.82787081,23.60522903,2.924684046,45.58076793,1.30832005,2.870333497,1.616363996,-230.3688049,-49.58939598,-3.491233118,37.99322586,0,0,1,0,54405.17694,RECT-1505-20210918-17_20_47,10288.4,812.936,2752.91,1939.974,0.704699391,-1,MPF-401-20230411-10_23_13,10203.9,2.203942308,3.198,0.310837302,0.5,1681.185368,10.78421855,261.2875621,1,0.00700947,859.822389,-,0,3.198,0.310837302,0.99883832,-0.001227629,1.417396316,0,1,401,300,300,300,10203.9,1.91,-0.00680767,0.2,1999.982581,1681.185368,0.840600005,0.19120001,6,0.5,0: Broadleaf,2,1681233208,387.1223871,399.9263871,12.86935484,7.713790323,396.8610323,13.45983548,600.1153548,101.5532581,0.108407677,23.29425161,23.60522903,999.9,0,0,10006.72774,0,21.6179129,1999.982581,0.980001484,0.019998216,0,2.215464516,0,9195.342581,16305.91935,41.25,42.792,41.937,40.875,40.5,1959.982581,40,0,41.29999995,0,2.203942308,0.143989739,-446.0150423,9192.718462,15,1681233148,10:12:27,1681233139,1681233148,3,0.115,-0.019,-9.836,-0.593,400,7,0.17,0.02,-12.843975,0.885221764,0.090924773,0,2.205771429,0.104306067,0.174433312,1,5.16989875,-0.462839887,0.054513398,0,1,3,3-Jan,100,100,-9.739,-0.5903,-6.627878743,-0.007814304,-3.18E-07,6.48E-10,-0.465222568,-0.027428369,0.001386821,-3.01E-06,5,2011,2,27,1.3,1.1,2,618.444,422.654,20.0002,26.5094,30.0011,26.4315,26.4335,21.0574,58.5228,0,20,400,7.94075,101.537,103.043
3,1681233258,84.5,20230411 10:14:18,10:14:18,a3.gerdis.2,33.99140418,1681233250,0.004847684,10.77476749,387.3035484,321.0482418,32.64036709,39.3764187,0.316985066,2.956934093,0.299244354,0.188538865,321.4473389,23.92162486,23.5937871,2.922668467,45.64772163,1.309954207,2.869703372,1.61271426,-213.7828597,-48.32976663,-3.403333157,55.93137941,0,0,1,0,54379.17321,RECT-1505-20210918-17_20_47,10288.4,812.936,2752.91,1939.974,0.704699391,-1,MPF-402-20230411-10_23_55,10203.8,2.128728,2.3504,0.094312457,0.5,1681.212214,10.77476749,79.2796277,1,0.007003737,1170.251702,-,0,2.3504,0.094312457,0.999146213,-0.000273471,1.417833229,0,1,402,300,300,300,10203.8,1.78,-0.00680679,-0.59,2000.014839,1681.212214,0.84059987,0.19119974,6,0.5,0: Broadleaf,2,1681233250,387.3035484,399.9532581,12.8846129,8.100366452,397.0436129,13.47497419,600.1225161,101.5579677,0.110139516,23.29061613,23.5937871,999.9,0,0,10001.12903,0,21.68032581,2000.014839,0.980002258,0.019997442,0,2.137425806,0,8924.693548,16306.19677,41.312,42.808,41.98780645,40.893,40.562,1960.021613,39.9916129,0,40.79999995,0,2.128728,0.440492298,-275.6061535,8922.28,15,1681233148,10:12:27,1681233139,1681233148,3,0.115,-0.019,-9.836,-0.593,400,7,0.17,0.02,-12.648225,0.290595872,0.06622151,1,2.134135294,0.220819231,0.163910366,1,4.8228815,-0.825245854,0.081639854,0,2,3,3-Feb,100,100,-9.741,-0.59,-6.627878743,-0.007814304,-3.18E-07,6.48E-10,-0.465222568,-0.027428369,0.001386821,-3.01E-06,5,2011,2,27,2,1.8,2,618.414,422.071,20.0004,26.6172,30.0013,26.5391,26.5443,21.0702,57.6099,0,20,400,8.25523,101.516,103.016
4,1681233847,673,20230411 10:24:06,10:24:06,f3.gerdis.2,19.27496894,1681233839,0.011933159,18.01181152,377.6185484,333.8483269,33.9508738,38.40210852,0.934466436,2.959817612,0.79648339,0.508492637,321.4417378,22.57793268,23.42750645,2.89351374,47.44608584,1.40205918,2.955057631,1.49145456,-526.2523316,55.74026542,3.927700724,-145.1426276,0,0,1,0,54375.87727,RECT-1505-20210918-17_20_47,10288.4,812.936,2752.91,1939.974,0.704699391,-1,MPF-403-20230411-10_33_44,10169.9,2.209788462,2.2716,0.027210573,0.5,1681.183171,18.01181152,22.87297901,1,0.01130859,1210.881493,-,0,2.2716,0.027210573,0.999174837,-7.62E-05,1.417873848,0,1,403,300,300,300,10169.9,1.52,-0.00678357,-1.03,1999.980323,1681.183171,0.840599856,0.191199712,6,0.5,0: Broadleaf,2,1681233839,377.6185484,400.1319355,13.78683548,2.020604194,387.1582581,14.35786774,600.1227742,101.5845484,0.110955419,23.77682258,23.42750645,999.9,0,0,10014.87742,0,100.1648806,1999.980323,0.980004,0.0199957,0,2.215135484,0,13477.30645,16305.91935,42.187,44.173,42.94919355,42.187,41.417,1959.990323,39.99,0,587.8,0,2.209788462,-0.071805132,-825.8256398,13466.23846,15,1681233815,10:23:35,1681233815,1681233808,5,-0.262,0.01,-9.711,-0.571,400,6,0.14,0.01,-22.5158475,-0.573454784,0.134514083,0,2.211691176,-0.014026794,0.200141023,1,11.806295,-0.81947167,0.085126744,0,1,3,3-Jan,100,100,-9.537,-0.5755,-6.504125974,-0.007814304,-3.18E-07,6.48E-10,-0.45434091,-0.027428369,0.001386821,-3.01E-06,5,2011,2,27,0.5,0.7,2,626.228,399.734,20.0007,27.5357,30.0003,27.4847,27.4775,20.9437,90.6657,0,20,400,1.35331,101.406,102.91
5,1681233887,713,20230411 10:24:46,10:24:46,f3.gerdis.2,21.21333019,1681233879,0.011856949,18.57348959,376.9531,329.5584839,33.51523027,38.33513797,0.875557464,2.957168248,0.753118537,0.480266058,321.4482838,22.54503456,23.32342667,2.875394685,44.37412705,1.307216607,2.945898193,1.568178078,-522.8914439,64.05983586,4.514422573,-132.8689016,0,0,1,0,54307.06057,RECT-1505-20210918-17_20_47,10288.4,812.936,2752.91,1939.974,0.704699391,-1,MPF-404-20230411-10_34_24,10169.3,2.139076923,2.2024,0.028751851,0.5,1681.21762,18.57348959,24.16905937,1,0.011642449,1248.959135,-,0,2.2024,0.028751851,0.999199974,-7.81E-05,1.417909518,0,1,404,300,300,300,10169.3,1.5,-0.00678328,-0.56,2000.021333,1681.21762,0.840599844,0.191199688,6,0.5,0: Broadleaf,2,1681233879,376.9531,399.9905,12.85398667,1.152293,386.4875333,13.43381,600.1459333,101.5863333,0.111034233,23.72524,23.32342667,999.9,0,0,9999.664667,0,99.24819333,2000.021333,0.9800053,0.0199944,0,2.12203,0,13074.78667,16306.24667,42.312,44.15806667,43.01653333,42.25,41.5,1960.030667,39.99,0,39,0,2.139076923,-0.086003433,-579.1487179,13072.66538,15,1681233815,10:23:35,1681233815,1681233808,5,-0.262,0.01,-9.711,-0.571,400,6,0.14,0.01,-23.0242125,-0.36100075,0.045215961,1,2.147311429,-0.253373777,0.242402147,1,11.69651,0.071788368,0.012450598,1,3,3,3-Mar,100,100,-9.534,-0.5807,-6.504125974,-0.007814304,-3.18E-07,6.48E-10,-0.45434091,-0.027428369,0.001386821,-3.01E-06,5,2011,2,27,1.2,1.3,2,627.23,397.683,19.9996,27.555,29.9999,27.4975,27.4938,20.9543,94.3484,0,20,400,0.852326,101.41,102.911
6,1681233934,760.5,20230411 10:25:34,10:25:34,f3.gerdis.2,22.06537709,1681233926,0.011753726,18.7269578,376.8131333,327.8775021,33.34455418,38.32122015,0.848703275,2.959351751,0.733205233,0.467314459,321.4452507,22.50917309,23.22676333,2.858655711,42.98209188,1.26139507,2.934699114,1.597260641,-518.3393036,69.43645663,4.885758892,-122.5718374,0,0,1,0,54383.17119,RECT-1505-20210918-17_20_47,10288.4,812.936,2752.91,1939.974,0.704699391,-1,MPF-405-20230411-10_35_11,10168.4,2.215528,2.3048,0.038733079,0.5,1681.20166,18.7269578,32.55905818,1,0.011733844,1193.424679,-,0,2.3048,0.038733079,0.999162777,-0.000110127,1.417856734,0,1,405,300,300,300,10168.4,1.93,-0.00678254,-1.32,2000.002333,1681.20166,0.840599849,0.191199699,6,0.5,0: Broadleaf,2,1681233926,376.8131333,399.9631667,12.40331667,0.7983251,386.3464667,12.98654667,600.1524667,101.5854667,0.112740633,23.66198,23.22676333,999.9,0,0,10012.14167,0,73.33163333,2000.002333,0.9800069,0.0199928,0,2.2201,0,12761.70667,16306.10333,42.3936,44.125,43.125,42.25,41.562,1960.012333,39.99,0,46.80000019,0,2.215528,-0.215015384,-564.6615375,12755.416,15,1681233815,10:23:35,1681233815,1681233808,5,-0.262,0.01,-9.711,-0.571,400,6,0.14,0.01,-23.1581925,0.058058161,0.049389232,1,2.181352941,0.560043956,0.176262934,1,11.613985,-0.201545966,0.021091272,0,2,3,3-Feb,100,100,-9.533,-0.5837,-6.504125974,-0.007814304,-3.18E-07,6.48E-10,-0.45434091,-0.027428369,0.001386821,-3.01E-06,5,2011,2,27,2,2.1,2,627.586,395.93,19.9983,27.5363,29.9998,27.4905,27.4892,20.9651,99.7592,0,20,400,0.821608,101.427,102.925
7,1681234481,1307.1,20230411 10:34:40,10:34:40,f8.gerdis.2,26.65654684,1681234473,0.008800992,17.11724495,379.5551333,324.0271987,32.95331409,38.60046185,0.642140374,2.957046684,0.573554531,0.364021396,321.4448974,24.17985746,24.82131333,3.14596131,52.33744866,1.622003946,3.099126893,1.523957363,-388.123757,-40.01555831,-2.853646354,-109.5480642,0,0,1,0,54149.27453,RECT-1505-20210918-17_20_47,10288.4,812.936,2752.91,1939.974,0.704699391,-1,MPF-406-20230411-10_44_18,10169.8,2.217807692,2.454,0.096247884,0.5,1681.19971,17.11724495,80.90595747,1,0.010776379,1120.805216,-,0,2.454,0.096247884,0.99910858,-0.000291422,1.417779826,0,1,406,300,300,300,10169.8,1.39,-0.00678352,-0.53,2000,1681.19971,0.840599855,0.19119971,6,0.5,0: Broadleaf,2,1681234473,379.5551333,400.0041333,15.94903,7.292091,389.0577667,16.50543667,600.2554667,101.5873333,0.1118889,24.57030667,24.82131333,999.9,0,0,9998.876667,0,354.9717667,2000,0.9800051,0.0199946,0,2.194813333,0,8450.46,16306.08333,43.562,45.87913333,44.40393333,43.625,42.781,1960.009333,39.99033333,0,545.5999999,0,2.217807692,0.441114531,-499.2683766,8449.31,15,1681234462,10:34:21,1681234448,1681234462,7,-0.112,0.008,-9.664,-0.597,400,7,0.08,0.02,-16.03036973,-68.50629543,8.03783364,0,2.245972727,-0.282249787,0.173843539,1,6.783323293,31.64188994,3.4591519,0,1,3,3-Jan,100,100,-9.5,-0.5573,-6.452336562,-0.007814304,-3.18E-07,6.48E-10,-0.468851513,-0.027428369,0.001386821,-3.01E-06,5,2011,2,27,0.5,0.3,2,625.186,388.669,19.9992,28.3482,30.0007,28.2883,28.2808,21.1166,72.6628,0,20,400,6.0431,101.262,102.75
8,1681234528,1354.1,20230411 10:35:27,10:35:27,f8.gerdis.2,25.96370711,1681234520,0.009619508,17.69876329,378.6392667,323.7847349,32.92867266,38.50733874,0.681673199,2.956252154,0.604903098,0.38423899,321.445925,23.94598415,24.77634,3.137524698,50.32584169,1.557577952,3.094986392,1.579946746,-424.2202962,-36.39915697,-2.595565292,-141.7690934,0,0,1,0,54129.9606,RECT-1505-20210918-17_20_47,10288.4,812.936,2752.91,1939.974,0.704699391,-1,MPF-407-20230411-10_45_05,10169.6,2.261392,2.586,0.125525135,0.5,1681.19724,17.69876329,105.5162555,1,0.01112229,1063.543697,-,0,2.586,0.125525135,0.99906063,-0.000400578,1.417711784,0,1,407,300,300,300,10169.6,1,-0.00678329,-0.8,1999.996,1681.19724,0.840600301,0.191200602,6,0.5,0: Broadleaf,2,1681234520,378.6392667,399.9751,15.31552667,5.845678333,388.1347,15.88221333,600.1477333,101.5886333,0.110641233,24.54795667,24.77634,999.9,0,0,9994.242667,0,357.7003,1999.996,0.979991,0.0200085,0,2.26268,0,8125.542667,16305.98,43.7185,46.0186,44.55166667,43.687,42.91426667,1959.976,40.02,0,46.20000005,0,2.261392,0.311007684,-248.8761535,8122.8992,15,1681234462,10:34:21,1681234448,1681234462,7,-0.112,0.008,-9.664,-0.597,400,7,0.08,0.02,-21.3244825,-0.207450281,0.032045038,1,2.258505882,0.178141167,0.208734408,1,9.47316675,-0.022234559,0.012827535,1,3,3,3-Mar,100,100,-9.496,-0.5672,-6.452336562,-0.007814304,-3.18E-07,6.48E-10,-0.468851513,-0.027428369,0.001386821,-3.01E-06,5,2011,2,27,1.3,1.1,2,627.779,387.714,19.9975,28.4148,30.0005,28.3526,28.3591,21.1213,73.5783,0,20,400,5.66258,101.247,102.737
