Plant_ID,Flower_Count,doy
E8.LUPBIC,1,NA
H3.AMSMEN,2,NA
B3.CALMEN,7,NA
F3.DAUPUS,31,NA
E7.EROBOT,6,NA
I4.GERDIS,34,NA
E1.HYPGLA,62,NA
H4.LUPBIC,3,NA
C3.MADGRA,778,NA
E1.MADGRA,151,NA
D6.BROHOR,1145,NA
D3.AVEBAR,519,NA
G2.BRODIA,1029,NA
I3.BRODIA,2130,NA
E6.BROHOR,2541,NA
J1.BROHOR,348,NA
B4.DAUPUS,342,NA
E8.MADGRA,495,NA
A5.MICCAL,104,NA
F5.MICCAL,280,NA
H7.MICCAL,130,NA
J3.MICCAL,319,NA
H7.TRIHIR,865,NA
H5.VICSAT,91,NA
A1.ACMPAR,NA,NA
A2.CAUCOU,NA,NA
A2.EROCIC,NA,NA
A3.TRIHIR,NA,NA
A4.CAUCOU,NA,NA
A5.EROBOT,NA,NA
A5.LUPBIC,NA,NA
A6.BROMAD,NA,NA
A7.CALMEN,NA,NA
A8.EROBOT,NA,NA
B1.EROBOT,NA,NA
B2.BROMAD,NA,NA
B2.EROBOT,NA,NA
B3.EROCIC,NA,NA
B4.MADGRA,NA,NA
B6.CALMEN,NA,NA
B6.EROCIC,NA,NA
B7.TRIHIR,NA,NA
C1.LUPBIC,NA,NA
C2.CALMEN,NA,NA
C3.ACMPAR,NA,NA
C3.DAUPUS,NA,NA
C4.LUPBIC,NA,NA
C5.GERDIS,NA,NA
C5.TORARV,NA,NA
C6.AMSMEN,NA,NA
C7.AMSMEN,NA,NA
C7.EROCIC,NA,NA
C7.PHATAN,NA,NA
C8.GALPAR,NA,NA
C8.MADGRA,NA,NA
D1.GALPAR,NA,NA
D2.BRODIA,NA,NA
D2.LUPBIC,NA,NA
D2.TORARV,NA,NA
D3.AMSMEN,NA,NA
D3.EROCIC,NA,NA
D5.AMSMEN,NA,NA
D5.LUPMIC,NA,NA
D6.EROBOT,NA,NA
D7.BROHOR,NA,NA
D8.CALMEN,NA,NA
D8.MICCAL,NA,NA
E2.AMSMEN,NA,NA
E2.EROCIC,NA,NA
E4.AMSMEN,NA,NA
E4.LUPMIC,NA,NA
E4.PHATAN,NA,NA
E5.CALMEN,NA,NA
E6.CALMEN,NA,NA
E6.EROCIC,NA,NA
E8.DAUPUS,NA,NA
E8.TRIHIR,NA,NA
F1.ACMPAR,NA,NA
F2.AMSMEN,NA,NA
F2.LUPMIC,NA,NA
F2.LUPSUC,NA,NA
F3.AVEBAR,NA,NA
F4.MICCAL,NA,NA
F5.EROBOT,NA,NA
F6.EROCIC,NA,NA
F7.AMSMEN,NA,NA
F7.EROCIC,NA,NA
F7.LUPMIC,NA,NA
F7.PHATAN,NA,NA
G1.EROBOT,NA,NA
G1.TRIHIR,NA,NA
G4.EROCIC,NA,NA
G5.TRIHIR,NA,NA
G6.ACMPAR,NA,NA
G6.AIRCAR,NA,NA
G6.MADGRA,NA,NA
H1.EROCIC,NA,NA
H2.AIRCAR,NA,NA
H3.PHATAN,NA,NA
H5.DAUPUS,NA,NA
H8.EROCIC,NA,NA
I1.BRODIA,NA,NA
I1.MADGRA,NA,NA
I1.VICSAT,NA,NA
I2.EROCIC,NA,NA
I3.AVEBAR,NA,NA
I4.DAUPUS,NA,NA
I4.EROBOT,NA,NA
I4.TORARV,NA,NA
I4.TRIHIR,NA,NA
I5.ACMPAR,NA,NA
I5.DAUPUS,NA,NA
I5.HYPGLA,NA,NA
I6.ACMPAR,NA,NA
I6.DAUPUS,NA,NA
I6.HYPGLA,NA,NA
I6.MADGRA,NA,NA
I8.ACMPAR,NA,NA
I8.BROHOR,NA,NA
I8.GALPAR,NA,NA
J2.ACMPAR,NA,NA
J2.BRODIA,NA,NA
J4.AMSMEN,NA,NA
J6.LUPBIC,NA,NA
J8.AVEFAT,NA,NA
A2.BRODIA,NA,NA
B4.BROHOR,NA,NA
B5.BROMAD,NA,NA
E6.AVEFAT,NA,NA
I4.BRODIA,NA,NA
A4.LUPMIC,NA,NA
B1.TRIHIR,NA,NA
B8.CAUCOU,NA,NA
C5.LUPBIC,NA,NA
D3.LUPMIC,NA,NA
D4.LUPBIC,NA,NA
E2.CAUCOU,NA,NA
E4.EROCIC,NA,NA
E5.AVEBAR,NA,NA
F6.AVEBAR,NA,NA
G3.AVEBAR,NA,NA
G5.EROCIC,NA,NA
I1.TRIHIR,NA,NA
I3.LUPMIC,NA,NA
I3.LUPSUC,NA,NA
