"","Plant_ID","Sp_Code","Scientific_Name","Native_Status","Growth_Habit","Growth_2","Rating","Rating_2","Source","Plot","Block","Shelter","Plot_number","Population","Treatment","Recorder","Collection_Date","Flower_1_g","Flower_2_g","Flower_3_g","Flower_4_g","Flower_5_g","Flower_6_g","Flower_7_g","Flower_8_g","Flower_9_g","Flower_10_g","Flower_Count","Veg_Mass","fl_average","total_fl_mass","Precip_mm","precip_dif","spei_avg","Veg_Mass_ln","total_fl_mass_ln","RV","rating.n"
"1","E8.LUPBIC.1","LUPBIC","Lupinus bicolor","Native","Forb","Nfixer","Native","Native","CalFlora","E8",5,"E",8,"BORR","Control","DC","5/19/23",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.09,0.00157,0.00157,603,93,-1.54647719860077,-2.40794560865187,-6.45667965962192,2.68140594057554,1
"2","H3.AMSMEN.1","AMSMEN","Amsinckia menziesii","Native","Forb","Forb","Native","Native","CalFlora","H3",3,"H",3,"WWP","Control","LS","4/13/23",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0.5128,0.00476,0.00952,320,-190,-2.28218921025594,-0.667869373375677,-4.65436043017886,6.96896820804026,1
"3","F2.AVEBAR.1","AVEBAR","Avena barbata","Non-native","Grass","Grass","Moderate","Invasive","Cal IPC","F2",1,"F",2,"WWP","Control","LS","8/4/23",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,0.58,0.0132628571428571,0.305045714285714,320,-190,-2.28218921025594,-0.544727175441672,-1.18729363070206,2.17961152707204,4
"4","F6.AVEFAT.1","AVEFAT","Avena fatua","Non-native","Grass","Grass","Moderate","Invasive","Cal IPC","F6",1,"F",6,"SEDG","Control","MR","6/7/23",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59,2.69,0.0353425,2.0852075,380,-130,-2.38062500953674,0.989541193613748,0.734868370682633,0.742635451081057,4
"5","G1.BRODIA.1","BRODIA","Bromus diandrus","Non-native","Grass","Grass","Moderate","Invasive","Cal IPC","G1",2,"G",1,"BORR","Control","MR","5/23/23",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,172,2.34,0.00562923808333333,0.968228950333333,603,93,-1.54647719860077,0.85015092936961,-0.0322867007323608,-0.0379776103477315,4
"6","I7.BRODIA.1","BRODIA","Bromus diandrus","Non-native","Grass","Grass","Moderate","Invasive","Cal IPC","I7",4,"I",7,"MCL","Drought","MR","5/23/23",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1075,8.49,0.00476452911587302,5.12186879956349,757,247,-1.89865398406983,2.13888900032326,1.6335193723699,0.763723303136824,4
"7","C1.BROHOR.1","BROHOR","Bromus hordeaceaus","Non-native","Grass","Grass","Limited","Invasive","Cal IPC","C1",3,"C",1,"MCL","Drought","JBL","5/17/23",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,501,1.82,0.001626,0.814626,757,247,-1.89865398406983,0.598836501088704,-0.205026166771653,-0.342374197963733,3
"8","F1.BROHOR.1","BROHOR","Bromus hordeaceaus","Non-native","Grass","Grass","Limited","Invasive","Cal IPC","F1",1,"F",1,"ANGELO","Control","AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,896,3.92,0.00118867459365079,1.06505243591111,1780,1270,-1.53443356355031,1.36609165380237,0.0630240335466436,0.0461345572028223,3
"9","I2.BROHOR.1","BROHOR","Bromus hordeaceaus","Non-native","Grass","Grass","Limited","Invasive","Cal IPC","I2",4,"I",2,"SEDG","Drought","AC","5/17/23",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,136,0.36,0.00151,0.20536,380,-130,-2.38062500953674,-1.02165124753198,-1.58299074241925,1.54944336068038,3
"10","I7.BROHOR.1","BROHOR","Bromus hordeaceaus","Non-native","Grass","Grass","Limited","Invasive","Cal IPC","I7",4,"I",7,"MCL","Drought","JBL","5/17/23",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,467,1.43,0.001626,0.759342,757,247,-1.89865398406983,0.357674444271816,-0.275303010187621,-0.769702769086861,3
