sample,total.leaf.area,Date,Plant_ID,Sp_Code,Plot
A1ACMPAR1_20230509,0.873,2023-05-09,A1.ACMPAR.1,ACMPAR,A1
C3ACMPAR1_20230509,0.114,2023-05-09,C3.ACMPAR.1,ACMPAR,C3
F1ACMPAR2_20230509,0.054,2023-05-09,F1.ACMPAR.2,ACMPAR,F1
G6ACMPAR1_20230509,0.144,2023-05-09,G6.ACMPAR.1,ACMPAR,G6
I6ACMPAR1_20230509_NOLICOR,0.073,2023-05-09,I6.ACMPAR.1,ACMPAR,I6
I8ACMPAR1_20230509,0.34199999999999997,2023-05-09,I8.ACMPAR.1,ACMPAR,I8
J2ACMPAR1_20230509,0.426,2023-05-09,J2.ACMPAR.1,ACMPAR,J2
A1AIRCAR2_20230509,0.504,2023-05-09,A1.AIRCAR.2,AIRCAR,A1
B4AIRCAR2_20230509,0.098,2023-05-09,B4.AIRCAR.2,AIRCAR,B4
C3AIRCAR2_20230509,0.461,2023-05-09,C3.AIRCAR.2,AIRCAR,C3
C8AIRCAR2_20230509,0.126,2023-05-09,C8.AIRCAR.2,AIRCAR,C8
D1AIRCAR2_20230509,0.384,2023-05-09,D1.AIRCAR.2,AIRCAR,D1
E1AIRCAR2_20230509,0.226,2023-05-09,E1.AIRCAR.2,AIRCAR,E1
E3AIRCAR2_20230509,0.381,2023-05-09,E3.AIRCAR.2,AIRCAR,E3
F1AIRCAR2_20230509,0.23,2023-05-09,F1.AIRCAR.2,AIRCAR,F1
G6AIRCAR2_20230509,0.529,2023-05-09,G6.AIRCAR.2,AIRCAR,G6
G7AIRCAR2_20230509,0.265,2023-05-09,G7.AIRCAR.2,AIRCAR,G7
H2AIRCAR2_20230509,0.365,2023-05-09,H2.AIRCAR.2,AIRCAR,H2
H6AIRCAR2_20200509,0.411,2020-05-09,H6.AIRCAR.2,AIRCAR,H6
I5AIRCAR2_20230509,0.801,2023-05-09,I5.AIRCAR.2,AIRCAR,I5
I6AIRCAR1_20230509,0.185,2023-05-09,I6.AIRCAR.1,AIRCAR,I6
I8AIRCAR2_20230509,0.663,2023-05-09,I8.AIRCAR.2,AIRCAR,I8
J2AIRCAR2_20230509,0.492,2023-05-09,J2.AIRCAR.2,AIRCAR,J2
A2AMSMEN2_20230403,11.081,2023-04-03,A2.AMSMEN.2,AMSMEN,A2
A4AMSMEN2_20230403,10.32,2023-04-03,A4.AMSMEN.2,AMSMEN,A4
B8AMSMEN2_20230403,3.013,2023-04-03,B8.AMSMEN.2,AMSMEN,B8
C6AMSMEN2,7.301,NA,C6.AMSMEN.2,AMSMEN,C6
C7AMSMEN2_20230403,2.544,2023-04-03,C7.AMSMEN.2,AMSMEN,C7
E2AMSMEN2_20230405,1.949,2023-04-05,E2.AMSMEN.2,AMSMEN,E2
F7AMSMEN2_20230403,2.452,2023-04-03,F7.AMSMEN.2,AMSMEN,F7
G4AMSMEN2_20230403,6.373,2023-04-03,G4.AMSMEN.2,AMSMEN,G4
I3AMSMEN2_20230405,6.4,2023-04-05,I3.AMSMEN.2,AMSMEN,I3
J4AMSMEN2_20230405,5.337,2023-04-05,J4.AMSMEN.2,AMSMEN,J4
J7AMSMEN2_20230405,3.628,2023-04-05,J7.AMSMEN.2,AMSMEN,J7
